subset,model,range,cut,precision,valid_values,total_values
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/5,0.4489045245147919,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,short,R,0.5911248068209554,97,97
eval-denovo,marinfold-e8-reference-step35679,all,AUC,0.9407015859352624,19,19
eval-denovo,marinfold-e8-reference-step35679,all,L,0.4035091073386179,19,19
eval-denovo,marinfold-e8-reference-step35679,all,L/2,0.5418578178431013,19,19
eval-denovo,marinfold-e8-reference-step35679,all,L/5,0.6989112609382806,19,19
eval-denovo,marinfold-e8-reference-step35679,all,R,0.458414745027517,19,19
eval-denovo,marinfold-e8-reference-step35679,long,AUC,0.9131464843950612,19,19
eval-denovo,marinfold-e8-reference-step35679,long,L,0.2775877847953038,19,19
eval-denovo,marinfold-e8-reference-step35679,long,L/2,0.37878052388566547,19,19
eval-denovo,marinfold-e8-reference-step35679,long,L/5,0.5183815830349177,19,19
eval-denovo,marinfold-e8-reference-step35679,long,R,0.3835165445375054,19,19
eval-denovo,marinfold-e8-reference-step35679,medium,AUC,0.967142109859501,19,19
eval-denovo,marinfold-e8-reference-step35679,medium,L,0.16078358503713547,19,19
eval-denovo,marinfold-e8-reference-step35679,medium,L/2,0.28154577872909314,19,19
eval-denovo,marinfold-e8-reference-step35679,medium,L/5,0.49155368128087795,19,19
eval-denovo,marinfold-e8-reference-step35679,medium,R,0.5413524573732863,19,19
eval-denovo,marinfold-e8-reference-step35679,short,AUC,0.9819489847033616,19,19
eval-denovo,marinfold-e8-reference-step35679,short,L,0.10798780111632526,19,19
eval-denovo,marinfold-e8-reference-step35679,short,L/2,0.20530931019602436,19,19
eval-denovo,marinfold-e8-reference-step35679,short,L/5,0.4122257330902835,19,19
eval-denovo,marinfold-e8-reference-step35679,short,R,0.5631652468452129,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,all,AUC,0.9647347462213179,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,all,L,0.5356079208750072,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/2,0.7011213296083001,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/5,0.8292321415030074,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,all,R,0.6098321907761355,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,long,AUC,0.9548088098707626,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,long,L,0.3701611908875688,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/2,0.5468996238122785,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/5,0.6898288169889938,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,long,R,0.572282225386759,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,medium,AUC,0.9786295370391755,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L,0.1700489560846624,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/2,0.3304883311819841,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/5,0.5778427711090085,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,medium,R,0.6735879134184737,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,short,AUC,0.985698005901417,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,short,L,0.1079567252387865,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/2,0.21500108220224878,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/5,0.47617067627574833,19,19
eval-denovo,marinfold-exp232-decontam-train-m2-p06-step363000,short,R,0.6460508522477962,19,19
