model,mode,predictor,range,cut,mean_precision
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,long,L,0.23104150873177426
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,long,L/2,0.3482464083686384
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,long,L/5,0.47027292171688084
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,long,R,0.3534938771026134
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,medium,AUC,0.9391387622590122
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,medium,L,0.15853152388798988
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,medium,L/2,0.2655282011733123
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,medium,L/5,0.44370577336464584
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,medium,R,0.46180820851888377
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,short,AUC,0.9494536738557732
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,short,L,0.1138014343507001
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,short,L/2,0.20386733136851728
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,short,L/5,0.38469303958942824
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,short,R,0.5295338571406767
protenix-v2,msa,distogram,all,L,0.4430925481367379
protenix-v2,msa,distogram,all,L/2,0.5035480861163684
protenix-v2,msa,distogram,all,L/5,0.5679926070629832
protenix-v2,msa,distogram,all,R,0.46498884656120293
protenix-v2,msa,distogram,long,L,0.36359862358535106
protenix-v2,msa,distogram,long,L/2,0.45307142847186066
protenix-v2,msa,distogram,long,L/5,0.5162144537628977
protenix-v2,msa,distogram,long,R,0.46088424178834897
protenix-v2,msa,distogram,medium,L,0.17920184126393618
protenix-v2,msa,distogram,medium,L/2,0.3011001346579085
protenix-v2,msa,distogram,medium,L/5,0.47270821274191704
protenix-v2,msa,distogram,medium,R,0.4916761642208405
protenix-v2,msa,distogram,short,L,0.11723061840292799
protenix-v2,msa,distogram,short,L/2,0.22011757598460144
protenix-v2,msa,distogram,short,L/5,0.37707568350482995
protenix-v2,msa,distogram,short,R,0.4740211228498643
protenix-v2,msa,structure,all,AUC,0.9405511170399871
protenix-v2,msa,structure,all,L,0.7164815589779315
protenix-v2,msa,structure,all,L/2,0.862598736234151
protenix-v2,msa,structure,all,L/5,0.8783251530722421
protenix-v2,msa,structure,all,R,0.8118214040198143
protenix-v2,msa,structure,long,AUC,0.9347577535790991
protenix-v2,msa,structure,long,L,0.4646984950450528
protenix-v2,msa,structure,long,L/2,0.7603694458191912
protenix-v2,msa,structure,long,L/5,0.8526394689867018
protenix-v2,msa,structure,long,R,0.7950362558838893
protenix-v2,msa,structure,medium,AUC,0.9454079178560272
protenix-v2,msa,structure,medium,L,0.1799445720153413
protenix-v2,msa,structure,medium,L/2,0.35742274037740496
protenix-v2,msa,structure,medium,L/5,0.722122957726739
protenix-v2,msa,structure,medium,R,0.8277535440854724
protenix-v2,msa,structure,short,AUC,0.9457846648722139
protenix-v2,msa,structure,short,L,0.11570001073811866
protenix-v2,msa,structure,short,L/2,0.23015333161532084
protenix-v2,msa,structure,short,L/5,0.5442512828039324
protenix-v2,msa,structure,short,R,0.8147363842483689
protenix-v2,single_seq,distogram,all,L,0.35697735124505064
protenix-v2,single_seq,distogram,all,L/2,0.41780246663613074
protenix-v2,single_seq,distogram,all,L/5,0.4888724370173769
protenix-v2,single_seq,distogram,all,R,0.379928471525795
protenix-v2,single_seq,distogram,long,L,0.27822039332069
protenix-v2,single_seq,distogram,long,L/2,0.3561698821097298
protenix-v2,single_seq,distogram,long,L/5,0.4145886589478939
protenix-v2,single_seq,distogram,long,R,0.3612795531580672
protenix-v2,single_seq,distogram,medium,L,0.1505792797580231
protenix-v2,single_seq,distogram,medium,L/2,0.24500957705150575
protenix-v2,single_seq,distogram,medium,L/5,0.38781922358350823
protenix-v2,single_seq,distogram,medium,R,0.4061035779784103
protenix-v2,single_seq,distogram,short,L,0.10521048323567449
protenix-v2,single_seq,distogram,short,L/2,0.18544256535247344
protenix-v2,single_seq,distogram,short,L/5,0.31371300790159107
protenix-v2,single_seq,distogram,short,R,0.40362654034450735
protenix-v2,single_seq,structure,all,AUC,0.829607713122528
protenix-v2,single_seq,structure,all,L,0.5235224537890021
protenix-v2,single_seq,structure,all,L/2,0.641645917041864
protenix-v2,single_seq,structure,all,L/5,0.6473395301682838
protenix-v2,single_seq,structure,all,R,0.6031578401726864
protenix-v2,single_seq,structure,long,AUC,0.8148539520190977
protenix-v2,single_seq,structure,long,L,0.3259447739260434
protenix-v2,single_seq,structure,long,L/2,0.5475044503943911
protenix-v2,single_seq,structure,long,L/5,0.61947340498414
protenix-v2,single_seq,structure,long,R,0.571710332452209
