eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-val,213,tm_score,2,213,0.34684540971642447,0.36015115844020507,0.34339165021310925
eval-val,214,gdt_ts,3,214,0.18241396704162663,0.20090893149403788,0.18438988907074014
eval-val,214,lddt,3,214,0.48696264274762946,0.4921785142644294,0.482093229636624
eval-val,214,rmsd,3,214,7.755365810132453,7.460670577851957,7.590175052157647
eval-val,214,tm_score,3,214,0.5739000898141104,0.5854841952986762,0.561701376885871
eval-val,215,gdt_ts,1,212,0.30958132045088566,0.31521739130434784,0.29830917874396135
eval-val,215,lddt,1,212,0.46012673559497463,0.46064066990387476,0.4600320417533776
eval-val,215,rmsd,1,212,4.158192047270577,4.106010209265368,4.148635624652043
eval-val,215,tm_score,1,212,0.6228715429508359,0.6265900644070236,0.6261343078625751
eval-val,220,gdt_ts,54,219.62962962962962,0.46669357345857476,0.4854415439928714,0.466472009541649
eval-val,220,lddt,54,219.62962962962962,0.6226062571278025,0.6283200287435003,0.6237042349933026
eval-val,220,rmsd,54,219.62962962962962,5.442074489719966,4.74844643356835,5.1707916716625615
eval-val,220,tm_score,54,219.62962962962962,0.7378305892273751,0.748653330300093,0.7378809508634452
eval-val,227,gdt_ts,1,227,0.7871621621621622,0.8153153153153153,0.7511261261261262
eval-val,227,lddt,1,227,0.7676909400009275,0.7727146252734339,0.7727146252734339
eval-val,227,rmsd,1,227,1.218259527924939,1.0105588116033384,1.461446112848534
eval-val,227,tm_score,1,227,0.9226584024067428,0.9303782590860012,0.9164845285199078
eval-val,229,gdt_ts,1,229,0.45683183183183185,0.5574324324324325,0.5574324324324325
eval-val,229,lddt,1,229,0.6442464546834337,0.6591647957317458,0.6591647957317458
eval-val,229,rmsd,1,229,2.6298023752023987,2.0346124840197626,2.0346124840197626
eval-val,229,tm_score,1,229,0.712769699115884,0.7880344858056543,0.7880344858056543
eval-val,230,gdt_ts,52,229.59615384615384,0.46496908974911205,0.4870825227012711,0.47059788460959256
eval-val,230,lddt,52,229.59615384615384,0.622092866510273,0.6274831861450373,0.6228361433617867
eval-val,230,rmsd,52,229.59615384615384,5.192088135006638,4.80496773225379,5.068391977593518
eval-val,230,tm_score,52,229.59615384615384,0.7401454950069462,0.7520778748821912,0.7438013015170425
eval-val,236,gdt_ts,1,234,0.0776255707762557,0.09018264840182648,0.07534246575342465
eval-val,236,lddt,1,234,0.44277271216918807,0.4479909405418084,0.440016271842383
