format,run,checkpoint_step,cv1_equivalent_step,schedule_fraction,n_rollouts,range,cut,mean_precision,n_proteins,sem
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,short,R,0.5806630309650774,554,0.01064442727173602
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,all,AUC,0.5670199955746473,554,0.0030400454721070456
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,all,L,0.019562544922588614,554,0.0006952249127586504
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,all,L/2,0.02032778015948702,554,0.0008403507144423983
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,all,L/5,0.020518960060107568,554,0.0012613812869153927
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,all,R,0.019307860458877397,554,0.0007227391809758548
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,long,AUC,0.5519003329710773,553,0.0033986051517609426
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,long,L,0.018179319648316206,554,0.000958627531732394
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,long,L/2,0.01811184322993719,554,0.0010755902848212863
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,long,L/5,0.020298947878469673,554,0.001362546412558407
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,long,R,0.01754408342650101,553,0.0009427090554724727
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,medium,AUC,0.5026889199082678,553,0.0030226677330749147
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,medium,L,0.019329941255559282,554,0.0006481213831247339
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,medium,L/2,0.019266325795413482,554,0.0008632980070441376
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,medium,L/5,0.019046541207861444,554,0.0012065796009111532
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,medium,R,0.019753229156213338,553,0.0014886267468421717
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,short,AUC,0.5091367412580149,554,0.0035737928437770588
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,short,L,0.022653074946610244,554,0.0006818191154757251
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,short,L/2,0.023267524093385457,554,0.0009182784773573245
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,short,L/5,0.022741877640662125,554,0.0012857971038329357
contacts_v1,exp177,50000,50000.0,0.7006824647206379,100,short,R,0.024434770991990585,554,0.001646908692844547
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,all,AUC,0.9162614899796628,554,0.003693655792598207
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,all,L,0.4398056926223281,554,0.009450122097398655
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,all,L/2,0.583633008901629,554,0.011722483570387033
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,all,L/5,0.7051388240212741,554,0.011472252460534224
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,all,R,0.49032661411943784,554,0.010457228743249645
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,long,AUC,0.8926758967385285,553,0.004633323673823315
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,long,L,0.28016546028037675,554,0.006840318732321936
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,long,L/2,0.4280889546293986,554,0.011244670871196452
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,long,L/5,0.5674566364466688,554,0.01376048816882768
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,long,R,0.43594416116847456,553,0.011404972710390836
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,medium,AUC,0.9480477625321521,553,0.002745659792175847
