model,range,cut,mean_precision
delta-v2-step8000-n100,long,L/5,0.10899708852669858
delta-v2-step8000-n100,long,R,0.08768667077713141
delta-v2-step8000-n100,medium,AUC,0.722311756270758
delta-v2-step8000-n100,medium,L,0.07522465344885092
delta-v2-step8000-n100,medium,L/2,0.10210324758506659
delta-v2-step8000-n100,medium,L/5,0.14582333750263518
delta-v2-step8000-n100,medium,R,0.14923247059712405
delta-v2-step8000-n100,short,AUC,0.7602468583132893
delta-v2-step8000-n100,short,L,0.0691727737343561
delta-v2-step8000-n100,short,L/2,0.10156239050209583
delta-v2-step8000-n100,short,L/5,0.15490063168922105
delta-v2-step8000-n100,short,R,0.18554472223570792
exp177-cv1-step10000-n100,all,AUC,0.586337357339825
exp177-cv1-step10000-n100,all,L,0.02297780668498498
exp177-cv1-step10000-n100,all,L/2,0.024054825289417454
exp177-cv1-step10000-n100,all,L/5,0.02461158677258702
exp177-cv1-step10000-n100,all,R,0.023909721043197434
exp177-cv1-step10000-n100,long,AUC,0.5622150952595278
exp177-cv1-step10000-n100,long,L,0.019660991174707904
exp177-cv1-step10000-n100,long,L/2,0.020058247088075586
exp177-cv1-step10000-n100,long,L/5,0.02128103635522782
exp177-cv1-step10000-n100,long,R,0.019942336141874944
exp177-cv1-step10000-n100,medium,AUC,0.5081396805536419
exp177-cv1-step10000-n100,medium,L,0.021066106738961844
exp177-cv1-step10000-n100,medium,L/2,0.021713006062409473
exp177-cv1-step10000-n100,medium,L/5,0.022347563384083745
exp177-cv1-step10000-n100,medium,R,0.022113385170549844
exp177-cv1-step10000-n100,short,AUC,0.5235741193418394
exp177-cv1-step10000-n100,short,L,0.023465271478781663
exp177-cv1-step10000-n100,short,L/2,0.02306763823404237
exp177-cv1-step10000-n100,short,L/5,0.023823578220810205
exp177-cv1-step10000-n100,short,R,0.024871914294558484
exp177-cv1-step20000-n100,all,AUC,0.599529415093339
exp177-cv1-step20000-n100,all,L,0.024491476214552558
exp177-cv1-step20000-n100,all,L/2,0.025011635363207104
exp177-cv1-step20000-n100,all,L/5,0.026471177864222883
exp177-cv1-step20000-n100,all,R,0.024963574790155037
exp177-cv1-step20000-n100,long,AUC,0.5750867175298298
exp177-cv1-step20000-n100,long,L,0.02134576437370945
exp177-cv1-step20000-n100,long,L/2,0.021539531324818624
exp177-cv1-step20000-n100,long,L/5,0.02060605834129063
exp177-cv1-step20000-n100,long,R,0.02227859145572705
exp177-cv1-step20000-n100,medium,AUC,0.5170238314296206
exp177-cv1-step20000-n100,medium,L,0.021642266877062877
exp177-cv1-step20000-n100,medium,L/2,0.022253609428850834
exp177-cv1-step20000-n100,medium,L/5,0.021559234977414164
exp177-cv1-step20000-n100,medium,R,0.02132229145192228
exp177-cv1-step20000-n100,short,AUC,0.5377333522566541
exp177-cv1-step20000-n100,short,L,0.02528892911485252
exp177-cv1-step20000-n100,short,L/2,0.02547796044041183
exp177-cv1-step20000-n100,short,L/5,0.026097125992893103
exp177-cv1-step20000-n100,short,R,0.027601899872624572
exp177-cv1-step71359-n100,all,AUC,0.9245909942035521
exp177-cv1-step71359-n100,all,L,0.4596406090798634
exp177-cv1-step71359-n100,all,L/2,0.6070917861939924
exp177-cv1-step71359-n100,all,L/5,0.72130282311024
exp177-cv1-step71359-n100,all,R,0.5112571338332279
exp177-cv1-step71359-n100,long,AUC,0.9033071963315621
exp177-cv1-step71359-n100,long,L,0.2958622888908046
exp177-cv1-step71359-n100,long,L/2,0.45447039986291476
exp177-cv1-step71359-n100,long,L/5,0.5944441447382162
exp177-cv1-step71359-n100,long,R,0.45952958687695167
exp177-cv1-step71359-n100,medium,AUC,0.9531286755377211
exp177-cv1-step71359-n100,medium,L,0.173142742999753
exp177-cv1-step71359-n100,medium,L/2,0.3055948627519755
exp177-cv1-step71359-n100,medium,L/5,0.5292002109600509
exp177-cv1-step71359-n100,medium,R,0.5588873294899118
exp177-cv1-step71359-n100,short,AUC,0.9597888065795009
exp177-cv1-step71359-n100,short,L,0.11772378113267358
exp177-cv1-step71359-n100,short,L/2,0.2188309680687903
exp177-cv1-step71359-n100,short,L/5,0.43964107671536884
exp177-cv1-step71359-n100,short,R,0.6183911745498751
