DMS_id,depth,spearman,n_variants
KCNH2_HUMAN_Kozek_2020,1,0.12439820325376878,200
KCNJ2_MOUSE_Coyote-Maestas_2022_function,1,0.12268452177181145,6963
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,1,0.25737972798797537,6917
KKA2_KLEPN_Melnikov_2014,1,0.24036063768315266,4960
LGK_LIPST_Klesmith_2015,1,0.1432622082639792,7890
LYAM1_HUMAN_Elazar_2016,1,0.333725938048079,359
MAFG_MOUSE_Tsuboyama_2023_1K1V,1,0.5215085616870729,762
MAFG_MOUSE_Tsuboyama_2023_1K1V,2,-0.01475512446075069,667
MBD11_ARATH_Tsuboyama_2023_6ACV,1,0.05980246621091058,1155
MBD11_ARATH_Tsuboyama_2023_6ACV,2,-0.1361402592753978,961
MET_HUMAN_Estevam_2023,1,0.5228144459080032,5393
MK01_HUMAN_Brenan_2016,1,0.19424633257137744,6809
MLAC_ECOLI_MacRae_2023,1,0.23523849638666475,4007
MSH2_HUMAN_Jia_2020,1,0.27975778215160413,16749
MTH3_HAEAE_RockahShmuel_2015,1,0.38898356855605115,1777
MTHR_HUMAN_Weile_2021,1,0.2491177047080568,12464
MYO3_YEAST_Tsuboyama_2023_2BTT,1,0.36831534192700927,947
MYO3_YEAST_Tsuboyama_2023_2BTT,2,0.33005594432860935,2350
NCAP_I34A1_Doud_2015,1,0.0077745812912497604,9462
NKX31_HUMAN_Tsuboyama_2023_2L9R,1,0.6503508893610727,1149
NKX31_HUMAN_Tsuboyama_2023_2L9R,2,0.2097599524728217,1333
NPC1_HUMAN_Erwood_2022_HEK293T,1,0.2619268373325975,637
NPC1_HUMAN_Erwood_2022_RPE1,1,0.374615975422427,63
NRAM_I33A0_Jiang_2016,1,-0.11378787538694161,298
NUD15_HUMAN_Suiter_2020,1,0.4077801941033837,2844
NUSA_ECOLI_Tsuboyama_2023_1WCL,1,0.39422917543736513,1306
NUSA_ECOLI_Tsuboyama_2023_1WCL,2,0.4389712430084439,722
NUSG_MYCTU_Tsuboyama_2023_2MI6,1,0.5745764049357461,1019
NUSG_MYCTU_Tsuboyama_2023_2MI6,2,0.47115415027828356,361
OBSCN_HUMAN_Tsuboyama_2023_1V1C,1,0.4544073835316798,1213
OBSCN_HUMAN_Tsuboyama_2023_1V1C,2,0.6714379392578413,1984
ODP2_GEOSE_Tsuboyama_2023_1W4G,1,0.1464808745328783,669
ODP2_GEOSE_Tsuboyama_2023_1W4G,2,-0.10943173952913055,465
OPSD_HUMAN_Wan_2019,1,0.38219243861870966,165
OTC_HUMAN_Lo_2023,1,0.2803172393254662,1570
OTU7A_HUMAN_Tsuboyama_2023_2L2D,1,0.33933605419081725,635
OXDA_RHOTO_Vanella_2023_activity,1,0.15323759286226224,6396
OXDA_RHOTO_Vanella_2023_expression,1,0.21619445070948,6769
P53_HUMAN_Giacomelli_2018_Null_Etoposide,1,-0.13489852109970352,7467
P53_HUMAN_Giacomelli_2018_Null_Nutlin,1,-0.1348212051969574,7467
P53_HUMAN_Giacomelli_2018_WT_Nutlin,1,-0.16349524206849284,7467
P53_HUMAN_Kotler_2018,1,0.1410728504637317,1048
P84126_THETH_Chan_2017,1,0.33233925126607816,1519
PA_I34A1_Wu_2015,1,0.029101961705828374,1820
PABP_YEAST_Melamed_2013,1,0.5732342879932693,1187
PABP_YEAST_Melamed_2013,2,0.6345113253257431,36521
PAI1_HUMAN_Huttinger_2021,1,0.40254718234007947,5345
PHOT_CHLRE_Chen_2023,1,0.5313572280070928,2122
PHOT_CHLRE_Chen_2023,2,0.6726920537090029,176
PHOT_CHLRE_Chen_2023,3,0.6637600677261339,978
PHOT_CHLRE_Chen_2023,4,0.6611371368906105,3565
PHOT_CHLRE_Chen_2023,5+,0.6584708742016459,160688
PIN1_HUMAN_Tsuboyama_2023_1I6C,1,0.34970312392565883,686
PIN1_HUMAN_Tsuboyama_2023_1I6C,2,0.16659779071608588,116
PITX2_HUMAN_Tsuboyama_2023_2L7M,1,0.6430976180560231,938
PITX2_HUMAN_Tsuboyama_2023_2L7M,2,0.30478544825220644,886
PKN1_HUMAN_Tsuboyama_2023_1URF,1,0.3859806363675837,1301
POLG_DEN26_Suphatrakul_2023,1,-0.028015027605163834,16897
POLG_PESV_Tsuboyama_2023_2MXD,1,0.13801454154590656,995
POLG_PESV_Tsuboyama_2023_2MXD,2,0.23627494754137593,4135
PPARG_HUMAN_Majithia_2016,1,0.32934461427418654,9576
PPM1D_HUMAN_Miller_2022,1,0.41641255912031216,7889
PR40A_HUMAN_Tsuboyama_2023_1UZC,1,0.1579069507653987,1163
PR40A_HUMAN_Tsuboyama_2023_1UZC,2,0.4035862225848209,870
PRKN_HUMAN_Clausen_2023,1,0.33892198485526254,8756
PSAE_PICP2_Tsuboyama_2023_1PSE,1,0.4608469704217391,1219
PSAE_PICP2_Tsuboyama_2023_1PSE,2,0.31995272082556775,360
PTEN_HUMAN_Matreyek_2021,1,0.2653433903467031,5083
PTEN_HUMAN_Mighell_2018,1,0.33961698188523287,7260
Q2N0S5_9HIV1_Haddox_2018,1,-0.04240969636301003,12729
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,1,0.28275274127615047,3344
Q53Z42_HUMAN_McShan_2019_expression,1,0.28483692207733774,3344
Q59976_STRSQ_Romero_2015,1,0.5004680258399908,2999
Q6WV12_9MAXI_Somermeyer_2022,1,0.04934527721266434,1141
Q6WV12_9MAXI_Somermeyer_2022,2,0.015096069996759009,15992
Q6WV12_9MAXI_Somermeyer_2022,3,-0.025117723498375294,8762
Q6WV12_9MAXI_Somermeyer_2022,4,0.004983256654917657,3575
Q6WV12_9MAXI_Somermeyer_2022,5+,-0.01368912926448362,1931
Q837P4_ENTFA_Meier_2023,1,0.4103563528700657,697
Q837P5_ENTFA_Meier_2023,1,0.19600811950202468,747
Q8WTC7_9CNID_Somermeyer_2022,1,-0.005315523732315491,1201
Q8WTC7_9CNID_Somermeyer_2022,2,-0.011963627534482891,11260
Q8WTC7_9CNID_Somermeyer_2022,3,-0.012971599626029562,11641
Q8WTC7_9CNID_Somermeyer_2022,4,-0.03313257733106541,5762
Q8WTC7_9CNID_Somermeyer_2022,5+,-0.05060678148836375,3646
R1AB_SARS2_Flynn_2022,1,-0.04282373388392551,5725
RAD_ANTMA_Tsuboyama_2023_2CJJ,1,0.4670046429528509,774
RAD_ANTMA_Tsuboyama_2023_2CJJ,2,0.23067930929772204,138
RAF1_HUMAN_Zinkus-Boltz_2019,1,0.15447348125320076,297
RASH_HUMAN_Bandaru_2017,1,0.46571414509605163,3134
RASK_HUMAN_Weng_2022_abundance,1,0.24230904612050472,3066
RASK_HUMAN_Weng_2022_abundance,2,0.27899333222209466,22946
RASK_HUMAN_Weng_2022_binding-DARPin_K55,1,0.5333666048624894,3084
RASK_HUMAN_Weng_2022_binding-DARPin_K55,2,0.5958837140430252,21789
RBP1_HUMAN_Tsuboyama_2023_2KWH,1,0.41332398010274657,975
RBP1_HUMAN_Tsuboyama_2023_2KWH,2,0.16338368879659076,357
RCD1_ARATH_Tsuboyama_2023_5OAO,1,0.21995761642302344,988
RCD1_ARATH_Tsuboyama_2023_5OAO,2,-0.35099756754856254,273
RCRO_LAMBD_Tsuboyama_2023_1ORC,1,0.3297420020425031,1195
RCRO_LAMBD_Tsuboyama_2023_1ORC,2,-0.39710148505778026,1083
RD23A_HUMAN_Tsuboyama_2023_1IFY,1,0.540853327876564,798
RD23A_HUMAN_Tsuboyama_2023_1IFY,2,0.41786830022124133,221
RDRP_I33A0_Li_2023,1,0.03742267360458507,12003
REV_HV1H2_Fernandes_2016,1,0.09082926613142883,2147
RFAH_ECOLI_Tsuboyama_2023_2LCL,1,0.19989321430635507,969
