DMS_id,orderings,min_context_fraction,spearman,n_variants,n_dropped,site_out_of_range,wt_mismatch,undefined_ratio
ACE2_HUMAN_Chan_2020,200,0.75,-0.012296332629530116,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,200,0.9,-0.0023653306594443022,2223,0,0,0,0
ADRB2_HUMAN_Jones_2020,1,0.0,0.22934499878743392,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,4,0.0,0.36058114313001804,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,16,0.0,0.37581856126207597,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,16,0.5,0.4090763844920491,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,16,0.75,0.4112181593189068,7686,114,0,0,114
ADRB2_HUMAN_Jones_2020,64,0.0,0.3768841312865451,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,64,0.5,0.4055895969558676,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,64,0.75,0.41215655313235633,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,64,0.9,0.4130281010307067,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,200,0.0,0.37794626608787696,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,200,0.5,0.40552549603196225,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,200,0.75,0.4118334993370619,7800,0,0,0,0
ADRB2_HUMAN_Jones_2020,200,0.9,0.41370154671978115,7800,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,1,0.0,-0.2627893759633195,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,4,0.0,-0.22683426518032754,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,16,0.0,-0.22004860658286635,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,16,0.5,-0.19914663559081966,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,16,0.75,-0.22453634687820057,190,19,0,0,19
AICDA_HUMAN_Gajula_2014_3cycles,64,0.0,-0.20273144076720542,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,64,0.5,-0.18211508549170938,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,64,0.75,-0.18435406216883027,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,64,0.9,-0.16110866577240474,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,200,0.0,-0.19530342151212773,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,200,0.5,-0.183600557768564,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,200,0.75,-0.18249736840126632,209,0,0,0,0
AICDA_HUMAN_Gajula_2014_3cycles,200,0.9,-0.16385231686472965,209,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,1,0.0,-0.23160447361242542,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,4,0.0,-0.18003113641485516,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,16,0.0,-0.22814963858300952,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,16,0.5,-0.27250911790489346,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,16,0.75,-0.2982940895800659,2953,19,0,0,19
AMFR_HUMAN_Tsuboyama_2023_4G3O,64,0.0,-0.22563830729262735,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,64,0.5,-0.24708729100555035,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,64,0.75,-0.25773613835840786,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,64,0.9,-0.2844087435669825,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,200,0.0,-0.23382917485510082,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,200,0.5,-0.25378612662769756,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,200,0.75,-0.28348015792439357,2972,0,0,0,0
AMFR_HUMAN_Tsuboyama_2023_4G3O,200,0.9,-0.2927833096852031,2972,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,1,0.0,0.14652597201147693,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,4,0.0,0.2732400606057441,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,16,0.0,0.3082959089878368,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,16,0.5,0.37186211213805026,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,16,0.75,0.3870018775567188,6171,56,0,0,56
AMIE_PSEAE_Wrenbeck_2017,64,0.0,0.3105919749621808,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,64,0.5,0.36399001145914406,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,64,0.75,0.37358203452108135,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,64,0.9,0.37864755464879807,6209,18,0,0,18
AMIE_PSEAE_Wrenbeck_2017,200,0.0,0.3096673169439316,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,200,0.5,0.3627969480143682,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,200,0.75,0.3706844992715001,6227,0,0,0,0
AMIE_PSEAE_Wrenbeck_2017,200,0.9,0.37116261664505534,6227,0,0,0,0
ANCSZ_Hobbs_2022,1,0.0,0.305267925215111,4670,0,0,0,0
ANCSZ_Hobbs_2022,4,0.0,0.5012849776227641,4670,0,0,0,0
ANCSZ_Hobbs_2022,16,0.0,0.5388695251517436,4670,0,0,0,0
ANCSZ_Hobbs_2022,16,0.5,0.5647269073797974,4670,0,0,0,0
ANCSZ_Hobbs_2022,16,0.75,0.5634376188969683,4635,35,0,0,35
ANCSZ_Hobbs_2022,64,0.0,0.5525692539248834,4670,0,0,0,0
ANCSZ_Hobbs_2022,64,0.5,0.5667177258103168,4670,0,0,0,0
ANCSZ_Hobbs_2022,64,0.75,0.5696969591760765,4670,0,0,0,0
ANCSZ_Hobbs_2022,64,0.9,0.5734368977042869,4670,0,0,0,0
ANCSZ_Hobbs_2022,200,0.0,0.5546148121521745,4670,0,0,0,0
ANCSZ_Hobbs_2022,200,0.5,0.5683528516327766,4670,0,0,0,0
ANCSZ_Hobbs_2022,200,0.75,0.5705825244164926,4670,0,0,0,0
ANCSZ_Hobbs_2022,200,0.9,0.5717919720292585,4670,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,1,0.0,0.2829383800206653,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,4,0.0,0.29096547370996634,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,16,0.0,0.29996166816100006,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,16,0.5,0.33874900519013845,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,16,0.75,0.3971120139818483,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,64,0.0,0.3169312196199754,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,64,0.5,0.37543295011780914,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,64,0.75,0.4186505490239628,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,64,0.9,0.440117416532049,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,200,0.0,0.3236339448247091,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,200,0.5,0.38781685212430206,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,200,0.75,0.4228948999863869,1287,0,0,0,0
ARGR_ECOLI_Tsuboyama_2023_1AOY,200,0.9,0.4479675438258214,1287,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,1,0.0,0.2067083267727075,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,4,0.0,0.23311480056915984,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,16,0.0,0.20647726801001315,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,16,0.5,0.15950977189323284,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,16,0.75,0.17151954158753488,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,64,0.0,0.2012459636251446,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,64,0.5,0.16109462026652835,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,64,0.75,0.19889985881862013,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,64,0.9,0.15619359109899345,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,200,0.0,0.20344892862158884,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,200,0.5,0.1744384648594709,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,200,0.75,0.194233177761028,170,0,0,0,0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,200,0.9,0.1847779292859629,170,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,1,0.0,0.13797002840465822,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,4,0.0,0.24539818522199053,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,16,0.0,0.2100414226773492,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,16,0.5,0.4027510730608804,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,16,0.75,0.4040691261368071,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.0,0.276631141825224,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.5,0.4058643319689549,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.75,0.3880298675344796,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.9,0.40858552469417353,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,200,0.0,0.27888814753028407,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,200,0.5,0.3875090996546557,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,200,0.75,0.3997159532849189,2069,0,0,0,0
BBC1_YEAST_Tsuboyama_2023_1TG0,200,0.9,0.41731289160592766,2069,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,1,0.0,0.18506445526795126,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,4,0.0,0.22902204159832124,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,16,0.0,0.20370480501887892,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,16,0.5,0.22775415088248918,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,16,0.75,0.16695731165046437,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,64,0.0,0.18091013586812382,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,64,0.5,0.17291425429387539,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,64,0.75,0.1739835121134769,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,64,0.9,0.17848027750335588,1572,0,0,0,0
