stem,n_residues,n_pairs,mode,elapsed_seconds,model_load_seconds,total_seconds,n_orderings,batch_size,tokens,model_nickname,runner_tag,timestamp_utc,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version
BLAT_ECOLX_Firnberg_2014,286,,masked-marginals-K200,13.024,,13.024,200,8,115800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BLAT_ECOLX_Jacquier_2013,286,,masked-marginals-K200,13.036,,13.036,200,8,115800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BLAT_ECOLX_Stiffler_2015,286,,masked-marginals-K200,13.028,,13.028,200,8,115800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BRCA1_HUMAN_Findlay_2018,1863,,masked-marginals-K200,86.283,,86.283,200,8,746600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
C6KNH7_9INFA_Lee_2018,566,,masked-marginals-K200,24.819,,24.819,200,8,227800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CALM1_HUMAN_Weile_2017,149,,masked-marginals-K200,7.076,,7.076,200,8,61000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CAPSD_AAV2S_Sinai_2021,735,,masked-marginals-K200,32.489,,32.489,200,8,295400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CAR11_HUMAN_Meitlis_2020_gof,1154,,masked-marginals-K200,52.238,,52.238,200,8,463000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CAR11_HUMAN_Meitlis_2020_lof,1154,,masked-marginals-K200,52.34,,52.34,200,8,463000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CAS9_STRP1_Spencer_2017_positive,1368,,masked-marginals-K200,62.049,,62.049,200,8,548600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CASP3_HUMAN_Roychowdhury_2020,258,,masked-marginals-K200,12.015,,12.015,200,8,104600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CASP7_HUMAN_Roychowdhury_2020,281,,masked-marginals-K200,12.717,,12.717,200,8,113800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CATR_CHLRE_Tsuboyama_2023_2AMI,72,,masked-marginals-K200,3.893,,3.893,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CBPA2_HUMAN_Tsuboyama_2023_1O6X,72,,masked-marginals-K200,3.844,,3.844,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CBS_HUMAN_Sun_2020,551,,masked-marginals-K200,24.544,,24.544,200,8,221800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CBX4_HUMAN_Tsuboyama_2023_2K28,50,,masked-marginals-K200,2.763,,2.763,200,8,21400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CCDB_ECOLI_Adkar_2012,101,,masked-marginals-K200,4.904,,4.904,200,8,41800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CCDB_ECOLI_Tripathi_2016,101,,masked-marginals-K200,4.852,,4.852,200,8,41800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CCR5_HUMAN_Gill_2023,352,,masked-marginals-K200,15.933,,15.933,200,8,142200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CD19_HUMAN_Klesmith_2019_FMC_singles,556,,masked-marginals-K200,24.665,,24.665,200,8,223800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CP2C9_HUMAN_Amorosi_2021_abundance,490,,masked-marginals-K200,21.484,,21.484,200,8,197400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CP2C9_HUMAN_Amorosi_2021_activity,490,,masked-marginals-K200,21.49,,21.49,200,8,197400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CSN4_MOUSE_Tsuboyama_2023_1UFM,72,,masked-marginals-K200,3.894,,3.894,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
CUE1_YEAST_Tsuboyama_2023_2MYX,52,,masked-marginals-K200,2.844,,2.844,200,8,22200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
D7PM05_CLYGR_Somermeyer_2022,235,,masked-marginals-K200,10.544,,10.544,200,8,95400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DLG4_HUMAN_Faure_2021,724,,masked-marginals-K200,32.101,,32.101,200,8,291000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DLG4_RAT_McLaughlin_2012,724,,masked-marginals-K200,32.135,,32.135,200,8,291000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DN7A_SACS2_Tsuboyama_2023_1JIC,55,,masked-marginals-K200,2.857,,2.857,200,8,23400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DNJA1_HUMAN_Tsuboyama_2023_2LO1,65,,masked-marginals-K200,3.861,,3.861,200,8,27400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,66,,masked-marginals-K200,3.834,,3.834,200,8,27800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DYR_ECOLI_Nguyen_2023,159,,masked-marginals-K200,7.541,,7.541,200,8,65000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
DYR_ECOLI_Thompson_2019,159,,masked-marginals-K200,7.54,,7.54,200,8,65000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ENV_HV1B9_DuenasDecamp_2016,853,,masked-marginals-K200,37.978,,37.978,200,8,342600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ENV_HV1BR_Haddox_2016,861,,masked-marginals-K200,38.189,,38.189,200,8,345800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ENVZ_ECOLI_Ghose_2023,60,,masked-marginals-K200,2.886,,2.886,200,8,25400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
EPHB2_HUMAN_Tsuboyama_2023_1F0M,66,,masked-marginals-K200,3.871,,3.871,200,8,27800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ERBB2_HUMAN_Elazar_2016,1255,,masked-marginals-K200,56.484,,56.484,200,8,503400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ESTA_BACSU_Nutschel_2020,212,,masked-marginals-K200,9.902,,9.902,200,8,86200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
F7YBW8_MESOW_Ding_2023,93,,masked-marginals-K200,4.571,,4.571,200,8,38600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
F7YBW8_MESOW_Aakre_2015,93,,masked-marginals-K200,4.571,,4.571,200,8,38600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
FECA_ECOLI_Tsuboyama_2023_2D1U,72,,masked-marginals-K200,3.812,,3.812,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
FKBP3_HUMAN_Tsuboyama_2023_2KFV,69,,masked-marginals-K200,3.901,,3.901,200,8,29000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GAL4_YEAST_Kitzman_2015,881,,masked-marginals-K200,39.033,,39.033,200,8,353800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GCN4_YEAST_Staller_2018,281,,masked-marginals-K200,12.713,,12.713,200,8,113800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GDIA_HUMAN_Silverstein_2021,447,,masked-marginals-K200,20.335,,20.335,200,8,180200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GFP_AEQVI_Sarkisyan_2016,238,,masked-marginals-K200,10.856,,10.856,200,8,96600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GLPA_HUMAN_Elazar_2016,150,,masked-marginals-K200,7.152,,7.152,200,8,61400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
GRB2_HUMAN_Faure_2021,217,,masked-marginals-K200,10.017,,10.017,200,8,88200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HCP_LAMBD_Tsuboyama_2023_2L6Q,55,,masked-marginals-K200,2.858,,2.858,200,8,23400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HECD1_HUMAN_Tsuboyama_2023_3DKM,72,,masked-marginals-K200,3.902,,3.902,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HEM3_HUMAN_Loggerenberg_2023,361,,masked-marginals-K200,16.18,,16.18,200,8,145800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HIS7_YEAST_Pokusaeva_2019,220,,masked-marginals-K200,10.047,,10.047,200,8,89400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HMDH_HUMAN_Jiang_2019,888,,masked-marginals-K200,39.155,,39.155,200,8,356600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,709,,masked-marginals-K200,31.673,,31.673,200,8,285000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HSP82_YEAST_Flynn_2019,709,,masked-marginals-K200,31.67,,31.67,200,8,285000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HSP82_YEAST_Mishra_2016,709,,masked-marginals-K200,31.703,,31.703,200,8,285000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HXK4_HUMAN_Gersing_2022_activity,465,,masked-marginals-K200,20.917,,20.917,200,8,187400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
HXK4_HUMAN_Gersing_2023_abundance,465,,masked-marginals-K200,20.984,,20.984,200,8,187400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
I6TAH8_I68A0_Doud_2015,498,,masked-marginals-K200,21.832,,21.832,200,8,200600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
IF1_ECOLI_Kelsic_2016,72,,masked-marginals-K200,3.901,,3.901,200,8,30200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ILF3_HUMAN_Tsuboyama_2023_2L33,71,,masked-marginals-K200,3.826,,3.826,200,8,29800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ISDH_STAAW_Tsuboyama_2023_2LHR,55,,masked-marginals-K200,2.869,,2.869,200,8,23400,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KCNE1_HUMAN_Muhammad_2023_expression,129,,masked-marginals-K200,6.578,,6.578,200,8,53000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KCNE1_HUMAN_Muhammad_2023_function,129,,masked-marginals-K200,6.578,,6.578,200,8,53000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KCNH2_HUMAN_Kozek_2020,1159,,masked-marginals-K200,52.54,,52.54,200,8,465000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KCNJ2_MOUSE_Coyote-Maestas_2022_function,428,,masked-marginals-K200,18.967,,18.967,200,8,172600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,428,,masked-marginals-K200,18.977,,18.977,200,8,172600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
KKA2_KLEPN_Melnikov_2014,264,,masked-marginals-K200,12.275,,12.275,200,8,107000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
LGK_LIPST_Klesmith_2015,439,,masked-marginals-K200,19.405,,19.405,200,8,177000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
LYAM1_HUMAN_Elazar_2016,372,,masked-marginals-K200,16.667,,16.667,200,8,150200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
