dataset,stem,n_residues,n_true,precision_mf,precision_px
denovo_pdb,2hyz_A,136,121,0.9256198347107438,0.9421487603305784
denovo_pdb,2i5v_O,246,205,0.3902439024390244,0.1317073170731707
denovo_pdb,2i5z_O,246,200,0.405,0.255
denovo_pdb,2p05_A,63,55,0.3636363636363636,0.8363636363636363
denovo_pdb,2p09_A,69,51,0.392156862745098,0.6470588235294118
denovo_pdb,2qyj_A,154,119,0.9159663865546218,0.9495798319327732
denovo_pdb,2wqh_A,104,87,0.9540229885057472,0.942528735632184
denovo_pdb,2xen_A,91,60,0.95,0.95
denovo_pdb,2zgd_A,97,74,0.7837837837837838,0.7567567567567568
denovo_pdb,2zgg_A,88,63,0.8888888888888888,0.9047619047619048
denovo_pdb,3dgl_A,69,53,0.2641509433962264,0.7358490566037735
denovo_pdb,3dgm_A,69,53,0.3584905660377358,0.7169811320754716
denovo_pdb,3dgn_A,69,49,0.3061224489795918,0.7142857142857143
denovo_pdb,3dgo_A,69,52,0.3461538461538461,0.75
denovo_pdb,3lt8_A,69,56,0.2857142857142857,0.8035714285714286
denovo_pdb,3lt9_A,69,56,0.375,0.8035714285714286
denovo_pdb,3lta_A,69,53,0.3018867924528302,0.7735849056603774
denovo_pdb,3ltb_A,69,50,0.32,0.68
denovo_pdb,3ltc_A,69,53,0.320754716981132,0.7169811320754716
denovo_pdb,3ltd_A,69,49,0.3469387755102041,0.7346938775510204
denovo_pdb,3o49_A,123,134,0.8507462686567164,0.417910447761194
denovo_pdb,3o4b_A,123,145,0.8758620689655172,0.1862068965517241
denovo_pdb,3o4c_A,124,142,0.852112676056338,0.1478873239436619
denovo_pdb,3o4d_A,123,148,0.8716216216216216,0.25
denovo_pdb,3p6i_A,127,153,0.673202614379085,0.2026143790849673
denovo_pdb,3p6j_A,125,141,0.6453900709219859,0.3687943262411347
denovo_pdb,3pg0_A,140,184,0.9130434782608696,0.2282608695652173
denovo_pdb,3q7w_A,124,139,0.8489208633093526,0.9280575539568344
denovo_pdb,3q7x_A,125,130,0.8384615384615385,0.9076923076923076
denovo_pdb,3q7y_A,124,137,0.6788321167883211,0.8978102189781022
denovo_pdb,3rfn_A,151,145,0.193103448275862,0.193103448275862
denovo_pdb,3teu_A,98,74,0.8108108108108109,0.7972972972972973
denovo_pdb,3v45_A,166,126,0.6666666666666666,0.3571428571428571
denovo_pdb,3ww9_A,251,233,0.8497854077253219,0.8884120171673819
denovo_pdb,3wwa_A,251,227,0.8325991189427313,0.8854625550660793
denovo_pdb,4a29_A,247,284,0.5387323943661971,0.7147887323943662
denovo_pdb,4d8h_A,124,126,0.3809523809523809,0.1825396825396825
denovo_pdb,4db6_A,197,156,0.8589743589743589,0.8846153846153846
denovo_pdb,4drt_A,352,317,0.3785488958990536,0.1577287066246056
denovo_pdb,4dui_A,165,109,0.908256880733945,0.8532110091743119
denovo_pdb,4etj_A,164,113,0.6814159292035398,0.3274336283185841
denovo_pdb,4hxt_A,247,199,0.8391959798994975,0.9045226130653268
denovo_pdb,4ijb_A,244,237,0.5274261603375527,0.6877637130801688
denovo_pdb,4j8y_A,157,106,0.9150943396226416,0.8867924528301887
denovo_pdb,4lny_A,248,268,0.5485074626865671,0.3283582089552239
denovo_pdb,4lpx_A,97,70,0.8,0.6428571428571429
denovo_pdb,4lt9_A,250,236,0.5084745762711864,0.6567796610169492
denovo_pdb,4n6t_A,79,83,0.5301204819277109,0.891566265060241
denovo_pdb,4n6u_A,79,83,0.5783132530120482,0.891566265060241
denovo_pdb,4nez_A,160,120,0.625,0.2083333333333333
denovo_pdb,4oxw_A,106,103,0.4271844660194174,0.8446601941747572
denovo_pdb,4oza_A,57,43,0.5813953488372093,0.813953488372093
denovo_pdb,4ozc_A,57,36,0.6388888888888888,0.9166666666666666
denovo_pdb,4pq8_A,241,242,0.8388429752066116,0.9380165289256198
denovo_pdb,4psj_A,255,241,0.7842323651452282,0.8257261410788381
denovo_pdb,4pww_A,85,87,0.7126436781609196,0.7011494252873564
denovo_pdb,4qkr_A,125,141,0.8652482269503546,0.9219858156028368
denovo_pdb,4qks_A,124,139,0.8633093525179856,0.2589928057553957
denovo_pdb,4r5c_A,304,314,0.8598726114649682,0.9140127388535032
denovo_pdb,4r6f_A,329,345,0.782608695652174,0.8289855072463768
denovo_pdb,4u3h_A,100,72,0.8055555555555556,0.8055555555555556
denovo_pdb,4uos_A,188,149,0.5838926174496645,0.8456375838926175
denovo_pdb,4wpy_A,88,42,0.3809523809523809,0.3095238095238095
denovo_pdb,4wsp_A,79,41,0.4146341463414634,0.5853658536585366
denovo_pdb,4yxx_A,208,180,0.6388888888888888,0.8777777777777778
denovo_pdb,4yxz_A,278,191,0.4712041884816754,0.8219895287958116
denovo_pdb,5bvl_A,180,235,0.7319148936170212,0.8425531914893617
denovo_pdb,5cwb_A,197,188,0.7446808510638298,0.8617021276595744
denovo_pdb,5cwc_A,196,182,0.2582417582417582,0.934065934065934
denovo_pdb,5cwd_A,171,124,0.4677419354838709,0.8306451612903226
denovo_pdb,5cwg_A,195,174,0.293103448275862,0.896551724137931
denovo_pdb,5cwh_A,159,115,0.8260869565217391,0.8695652173913043
denovo_pdb,5cwi_A,233,170,0.3235294117647059,0.8588235294117647
denovo_pdb,5cwj_A,160,157,0.7579617834394905,0.8980891719745223
denovo_pdb,5cwk_A,172,149,0.7986577181208053,0.9261744966442952
denovo_pdb,5cwm_A,226,206,0.7815533980582524,0.8495145631067961
denovo_pdb,5cwn_A,207,165,0.7878787878787878,0.9151515151515152
denovo_pdb,5cwp_A,229,204,0.284313725490196,0.8970588235294118
denovo_pdb,5cwq_A,233,239,0.7698744769874477,0.8661087866108786
denovo_pdb,5di5_A,191,151,0.7615894039735099,0.933774834437086
denovo_pdb,5dra_A,190,167,0.8502994011976048,0.8562874251497006
denovo_pdb,5f53_A,84,57,0.7719298245614035,0.2631578947368421
denovo_pdb,5hrz_A,122,105,0.9428571428571428,0.9428571428571428
denovo_pdb,5ieo_A,118,102,0.5882352941176471,0.0392156862745098
denovo_pdb,5iep_A,121,100,0.74,0.13
denovo_pdb,5j0i_A,73,27,0.6296296296296297,0.7037037037037037
denovo_pdb,5l0p_A,311,299,0.3244147157190635,0.1906354515050167
denovo_pdb,5l33_A,106,119,0.8151260504201681,0.8991596638655462
denovo_pdb,5le4_A,313,229,0.8951965065502183,0.8951965065502183
denovo_pdb,5le9_A,315,233,0.8583690987124464,0.8369098712446352
denovo_pdb,5lea_A,316,225,0.8888888888888888,0.88
denovo_pdb,5lw2_A,155,112,0.8928571428571429,0.8928571428571429
denovo_pdb,5oos_A,161,122,0.8770491803278688,0.8852459016393442
denovo_pdb,5oou_A,165,120,0.85,0.85
denovo_pdb,5op3_A,157,111,0.9009009009009008,0.8738738738738738
denovo_pdb,5orm_A,350,231,0.7619047619047619,0.7705627705627706
denovo_pdb,5trv_A,118,113,0.6902654867256637,0.6460176991150443
denovo_pdb,5vjs_A,196,155,0.6,0.8516129032258064
denovo_pdb,5vjt_A,196,163,0.6073619631901841,0.8588957055214724
denovo_pdb,5vju_A,196,152,0.5526315789473685,0.8092105263157895
denovo_pdb,5vnv_A,120,116,0.7068965517241379,0.1206896551724138
denovo_pdb,5xg5_A,145,180,0.7611111111111111,0.1666666666666666
denovo_pdb,5ys7_A,315,274,0.551094890510949,0.5620437956204379
denovo_pdb,6ais_O,244,204,0.4852941176470588,0.284313725490196
denovo_pdb,6ds9_A,93,87,0.6091954022988506,0.9310344827586208
denovo_pdb,6ee5_A,352,369,0.1680216802168021,0.2845528455284553
denovo_pdb,6egc_A,147,159,0.5031446540880503,0.89937106918239
denovo_pdb,6f0s_A,251,199,0.8341708542713567,0.9045226130653268
denovo_pdb,6ff6_A,222,194,0.6443298969072165,0.2371134020618556
denovo_pdb,6fpb_A,160,114,0.912280701754386,0.9210526315789472
denovo_pdb,6g6m_A,320,323,0.8359133126934984,0.9102167182662538
denovo_pdb,6g6p_A,318,324,0.7098765432098766,0.7777777777777778
denovo_pdb,6i37_A,251,205,0.7951219512195122,0.8975609756097561
denovo_pdb,6i38_A,251,211,0.8151658767772512,0.914691943127962
denovo_pdb,6i39_A,251,202,0.801980198019802,0.9306930693069309
denovo_pdb,6i3a_A,251,211,0.7819905213270142,0.1943127962085308
denovo_pdb,6ics_O,242,203,0.4532019704433497,0.2857142857142857
denovo_pdb,6idc_A,251,172,0.4825581395348837,0.2267441860465116
denovo_pdb,6iei_A,250,169,0.5029585798816568,0.2307692307692307
denovo_pdb,6jcc_A,97,79,0.3670886075949367,0.6962025316455697
denovo_pdb,6mrr_A,68,54,0.6296296296296297,0.8888888888888888
denovo_pdb,6mrs_A,77,66,0.7424242424242424,0.8484848484848485
denovo_pdb,6n9h_A,75,39,0.6923076923076923,0.8461538461538461
denovo_pdb,6naf_A,74,35,0.7428571428571429,0.8571428571428571
denovo_pdb,6nek_A,86,32,0.5,0.40625
denovo_pdb,6nla_A,56,34,0.7941176470588235,0.8529411764705882
denovo_pdb,6qb2_A,95,104,0.2403846153846154,0.5096153846153846
denovo_pdb,6qsd_A,250,222,0.8603603603603603,0.9234234234234234
denovo_pdb,6qse_A,251,201,0.835820895522388,0.900497512437811
denovo_pdb,6qsg_A,251,203,0.8768472906403941,0.9261083743842364
denovo_pdb,6qsh_A,246,212,0.8301886792452831,0.8537735849056604
denovo_pdb,6rej_A,250,223,0.852017937219731,0.9147982062780268
