budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
599,17,10,2,12,2,8,7,2,9,6,2,17.078471644761997,10.483088915798561,1.4384394394394393
600,17,10,2,12,2,8,7,2,9,6,2,17.077803207191923,10.481956552567837,1.4402402402402403
601,17,10,2,12,2,8,7,2,9,6,2,17.07713920528507,10.480821755675892,1.442039039039039
602,17,10,2,12,2,8,7,2,9,6,2,17.076479615805006,10.479684548359158,1.4438358358358356
603,17,10,2,12,2,8,7,2,9,6,2,17.07582441562155,10.47854495374782,1.4456306306306304
604,17,10,2,12,2,8,7,2,9,6,2,17.075173581710345,10.477402994866235,1.4474234234234231
605,17,10,2,12,2,8,7,2,9,6,2,17.074527091152405,10.47625869463338,1.449214214214214
606,17,10,2,12,2,8,7,2,9,6,2,17.073884921133736,10.475112075863267,1.451003003003003
607,17,10,2,12,2,8,7,2,9,6,2,17.073247048944843,10.47396316126537,1.4527897897897897
608,17,10,2,12,2,8,7,2,9,6,2,17.072613451980356,10.472811973445072,1.4545745745745746
609,17,10,2,12,2,8,7,2,9,6,2,17.071984107738587,10.471658534904057,1.4563573573573572
610,17,10,2,12,2,8,7,2,9,6,2,17.071358993821097,10.470502868040764,1.4581381381381382
611,17,10,2,12,2,8,7,2,9,6,2,17.07073808793229,10.469344995150795,1.4599169169169166
612,17,10,2,12,2,8,7,2,9,6,2,17.070121367878976,10.468184938427333,1.4616936936936935
613,17,10,2,12,2,8,7,2,9,6,2,17.06950881156996,10.467022719961573,1.4634684684684682
614,17,10,2,12,2,8,7,2,9,6,2,17.06890039701563,10.465858361743132,1.4652412412412412
615,17,10,2,12,2,8,7,2,9,6,2,17.068296102327515,10.464691885660473,1.4670120120120118
616,17,10,2,12,2,8,7,2,9,6,2,17.0676959057179,10.46352331350132,1.4687807807807807
617,17,10,2,12,2,8,7,2,9,6,2,17.067099785499387,10.462352666953066,1.4705475475475474
618,17,10,2,12,2,8,7,2,9,6,2,17.066507720084484,10.4611799676032,1.4723123123123125
619,17,10,2,12,2,8,7,2,9,6,2,17.06591968798521,10.460005236939717,1.474075075075075
620,17,10,2,12,2,8,7,2,9,6,2,17.065335667812654,10.45882849635151,1.4758358358358357
621,17,10,2,12,2,8,7,2,9,6,2,17.06475563827659,10.457649767128814,1.4775945945945945
622,17,10,2,12,2,8,7,2,9,6,2,17.064179578185055,10.456469070463594,1.4793513513513514
623,17,10,2,12,2,8,7,2,9,6,2,17.063607466443937,10.455286427449954,1.4811061061061062
624,17,10,2,12,2,8,7,2,9,6,2,17.063039282056582,10.454101859084563,1.4828588588588587
625,17,10,2,12,2,8,7,2,9,6,2,17.06247500412336,10.45291538626703,1.4846096096096095
