eval_set,stratum,predictor,range,cut,value,n
eval-val,viral,#232 m1-p02 (decontaminated),all,AUC,0.8857682028288725,6
eval-val,viral,#232 m1-p02 (decontaminated),all,R,0.40942592877326794,6
eval-val,viral,#232 m1-p02 (decontaminated),long,AUC,0.8652959692387188,6
eval-val,viral,#232 m1-p02 (decontaminated),long,R,0.38364282322157545,6
eval-val,viral,#232 m2-p06 (decontaminated),all,AUC,0.8895261409845681,6
eval-val,viral,#232 m2-p06 (decontaminated),all,R,0.45224274425732625,6
eval-val,viral,#232 m2-p06 (decontaminated),long,AUC,0.8612661697306461,6
eval-val,viral,#232 m2-p06 (decontaminated),long,R,0.4250890099927507,6
eval-val,viral,ESMFold,all,AUC,0.8229314940282321,6
eval-val,viral,ESMFold,all,R,0.6117899097717979,6
eval-val,viral,ESMFold,long,AUC,0.805505905250992,6
eval-val,viral,ESMFold,long,R,0.5714079579336245,6
eval-val,viral,ESMFold2,all,AUC,0.867500739537614,6
eval-val,viral,ESMFold2,all,R,0.6921853125995246,6
eval-val,viral,ESMFold2,long,AUC,0.8612773727532165,6
eval-val,viral,ESMFold2,long,R,0.6848932007678107,6
eval-val,viral,Protenix-v2 + MSA,all,AUC,0.9223287251022313,6
eval-val,viral,Protenix-v2 + MSA,all,R,0.783464879833374,6
eval-val,viral,Protenix-v2 + MSA,long,AUC,0.9130834116783643,6
eval-val,viral,Protenix-v2 + MSA,long,R,0.7700495534015821,6
eval-val,viral,Protenix-v2 single-seq,all,AUC,0.6443008267498601,6
eval-val,viral,Protenix-v2 single-seq,all,R,0.2652200138019798,6
eval-val,viral,Protenix-v2 single-seq,long,AUC,0.6254983184791431,6
eval-val,viral,Protenix-v2 single-seq,long,R,0.23490096576789707,6
eval-val,viral,seq-KNN (decontaminated corpus),all,AUC,0.5905009799493111,6
eval-val,viral,seq-KNN (decontaminated corpus),all,R,0.15107971266985823,6
eval-val,viral,seq-KNN (decontaminated corpus),long,AUC,0.5833923243640113,6
eval-val,viral,seq-KNN (decontaminated corpus),long,R,0.13781844677308122,6
eval-val,viral,seq-KNN (unfiltered corpus),all,AUC,0.6354342042248319,6
eval-val,viral,seq-KNN (unfiltered corpus),all,R,0.23499618901354621,6
eval-val,viral,seq-KNN (unfiltered corpus),long,AUC,0.6279906302062748,6
