k,seconds,mean_plddt,n_true,lddt,tm_score,gdt_ts,rmsd
54,10.15,89.93896484375,41,0.8523083975809473,0.9656124543672752,0.9500000000000001,0.565206356819933
55,10.14,91.04629516601562,41,0.8634066365865887,0.968454036228617,0.9583333333333334,0.5539041499091222
56,10.13,90.29877471923828,42,0.8676544313916779,0.9685150688956031,0.9583333333333334,0.5496427048386259
57,10.14,90.89974975585938,42,0.8606142930052527,0.9665980473059536,0.9533333333333334,0.5746292189126778
58,10.15,91.00169372558594,43,0.8594648365694258,0.9665518336393071,0.9533333333333334,0.5745683401563602
59,10.2,91.32366180419922,43,0.8611077237149348,0.9678584340984399,0.9566666666666667,0.5554515800068152
60,10.13,91.48601531982422,44,0.8637769919018649,0.968117413825101,0.955,0.5522895294726556
61,10.14,90.48749542236328,45,0.8618823083072504,0.9686319405665235,0.955,0.5373235503154762
62,10.15,89.811767578125,46,0.8551289694637526,0.9657949428263394,0.95,0.5566652612286838
63,10.17,90.95276641845703,47,0.856955905134841,0.9675191329002711,0.9533333333333334,0.5558210289958692
64,10.13,90.47724151611328,48,0.8593688603444304,0.9668858806147254,0.9483333333333334,0.5607584800715656
65,10.15,90.733642578125,49,0.8674523167531583,0.9701730377538482,0.9533333333333333,0.5109439279486737
66,10.2,90.4396743774414,49,0.8563642399360459,0.9653076467989382,0.9433333333333334,0.578516713042153
67,10.21,90.87335968017578,49,0.8504125848542742,0.9657274076235349,0.9500000000000001,0.5693853799831731
68,10.16,90.77381134033203,50,0.8555998175322593,0.9657094694991465,0.9466666666666667,0.563579405540787
69,10.18,90.26724243164062,51,0.8571806024145361,0.9659825774361491,0.9483333333333334,0.56447815518858
70,10.18,90.47439575195312,52,0.8548929808634699,0.9663505987788991,0.9433333333333334,0.5538235410114349
71,10.19,90.25312042236328,53,0.8590075380856244,0.9670548500775453,0.9483333333333333,0.5470273405249849
72,10.21,90.22074127197266,53,0.8510460279392438,0.9667943563517436,0.9516666666666667,0.5468324519630838
73,10.15,90.22859191894531,54,0.8522722653550668,0.9674270409601593,0.9483333333333334,0.53642157002827
74,10.16,90.74803161621094,54,0.8596263024538299,0.9665333099165967,0.9466666666666667,0.5513948126260001
75,10.13,90.13201904296875,54,0.8482762669990832,0.9598998802630604,0.94,0.6147060227152561
76,10.16,90.00321197509766,55,0.8589962467650367,0.9658512263252235,0.9516666666666667,0.5499070599596912
77,10.21,89.9655532836914,56,0.8386131548401375,0.9571750618917356,0.9333333333333333,0.6359621927730141
78,10.2,90.12218475341797,56,0.8360771242361422,0.9554904691729297,0.9366666666666666,0.65135834887486
79,10.2,90.0826644897461,57,0.8390489998148223,0.956476896035999,0.9316666666666666,0.6559153569773454
80,10.17,89.7979736328125,58,0.8606481669670157,0.9650651770008623,0.9533333333333334,0.5706929268460547
81,10.15,89.87531280517578,59,0.8601253788238058,0.9664088799970699,0.9483333333333334,0.5440639808603931
82,10.21,89.80644989013672,59,0.8424725282170101,0.9559702841996176,0.9333333333333333,0.6687246695698081
83,10.19,90.10183715820312,60,0.8464019077815265,0.9569758773985624,0.9366666666666666,0.6509668678019556
84,10.19,90.04704284667969,61,0.8591633583097344,0.9661096226905662,0.9533333333333334,0.5507608774335333
85,10.17,90.17097473144531,62,0.8484219250346643,0.9571009816919135,0.94,0.6507406600566503
86,10.18,90.37139892578125,63,0.8609349665099431,0.9663030043336821,0.9483333333333334,0.5423991272333843
87,10.18,90.23314666748047,64,0.8583469958312444,0.9667218919952811,0.9466666666666667,0.5412423057152947
88,10.19,90.44273376464844,65,0.8668312941208351,0.9702747394976607,0.955,0.5090981870465022
89,10.21,90.22373962402344,66,0.8449543604821845,0.9579861064366342,0.935,0.6458362050247285
90,10.15,90.12578582763672,67,0.8469822816597338,0.9568210211785667,0.9299999999999999,0.6382662598286717
91,10.2,90.29621124267578,68,0.8425594713855353,0.957327961500546,0.9349999999999999,0.6358421162082024
92,10.17,90.35267639160156,69,0.8536972300132335,0.9657487071035454,0.945,0.5416686905002864
93,10.15,90.28550720214844,70,0.8395367848642106,0.9564200473119915,0.9299999999999999,0.6628532343485644
94,10.15,90.50076293945312,71,0.8353036687758855,0.9574824822572106,0.9316666666666666,0.6441504038632373
95,10.19,90.52407836914062,72,0.8353781914917642,0.956733485914714,0.9316666666666666,0.6507706060719147
96,10.13,90.2228775024414,72,0.8441989711348681,0.9585652705672794,0.9333333333333333,0.6382216607971696
97,10.12,90.15103149414062,73,0.8519256218130247,0.9661701016803375,0.9416666666666667,0.5413625773605323
98,10.14,89.95203399658203,74,0.8439426581575276,0.9663201840536881,0.945,0.5373382339107471
99,10.13,89.8692855834961,75,0.8501099774625241,0.9649923618663261,0.9400000000000001,0.5640189703082283
100,10.14,89.95781707763672,75,0.846408682573879,0.96524151404173,0.9416666666666667,0.5520644940271091
101,10.13,90.10814666748047,75,0.8469721194712049,0.9661043865854336,0.9433333333333332,0.5390957768532101
102,10.2,90.17393493652344,75,0.8482830417914358,0.9657844593111385,0.9416666666666667,0.5376069896959556
103,10.14,90.30122375488281,76,0.8481159302467379,0.9649219807939026,0.9433333333333332,0.5485603921456447
104,10.17,90.09558868408203,77,0.8445004493945594,0.9638292690314192,0.9416666666666667,0.5580603310928258
105,10.15,90.162109375,78,0.8517460898156806,0.965219501130908,0.945,0.5497020753380893
106,10.2,90.04418182373047,79,0.8446833687880799,0.9639865216274721,0.94,0.5529267838523797
107,10.2,90.13943481445312,80,0.8500309382184104,0.9652870410815806,0.9433333333333332,0.5444194392690892
108,10.13,90.19073486328125,81,0.8462302797085937,0.9645665683583909,0.9416666666666667,0.55211641846843
109,10.14,90.10163879394531,82,0.8422794466349607,0.9630310657199997,0.9333333333333333,0.5600111112542225
110,10.13,90.09390258789062,82,0.8416460035499912,0.9638159802161477,0.94,0.5519569923968296
111,10.12,90.15076446533203,82,0.8540596814040983,0.9639045260273775,0.9366666666666666,0.5944470963471923
112,10.12,90.00929260253906,82,0.8548049085628859,0.9638957593408738,0.9366666666666666,0.5998137155404348
113,10.13,90.32923889160156,83,0.8515484917053959,0.9619182736384513,0.935,0.5953950410253843
114,10.14,90.67445373535156,83,0.8626828629369176,0.9640167476299799,0.9433333333333334,0.5793627019634384
115,10.15,90.63166809082031,84,0.856442150048101,0.9617927714052282,0.9333333333333333,0.5885198686588566
116,10.13,90.50623321533203,84,0.852751017347985,0.9646217439589424,0.9483333333333333,0.5510675857616848
117,10.13,90.47647094726562,85,0.835505783414405,0.9555151059767707,0.9283333333333333,0.6722457119623891
118,10.13,90.27681732177734,85,0.8496244506772535,0.9625513563527557,0.9400000000000001,0.5788526714511099
119,10.17,90.2081298828125,86,0.8484795107696615,0.9607120982464358,0.9349999999999999,0.5963929439406281
120,10.13,90.18624114990234,87,0.835393999340587,0.9557049394030107,0.9316666666666666,0.676619438290194
121,10.13,90.67887878417969,88,0.8560842151854713,0.9649143089386344,0.9466666666666667,0.570798907533947
122,10.18,90.18406677246094,88,0.8564895735945692,0.9644313071666757,0.94,0.5556843812507223
123,10.13,90.6087646484375,89,0.8560401790351793,0.9642980329504819,0.9416666666666667,0.5756272554595853
124,10.13,90.16625213623047,90,0.8537514283520543,0.9650465398838477,0.9433333333333334,0.5489485488540624
125,10.14,90.40938568115234,91,0.8519899823403745,0.9645356695478169,0.9400000000000001,0.5548580651976471
126,10.12,90.50179290771484,92,0.848281912659377,0.9648457792077285,0.9466666666666667,0.5539598293335355
127,10.13,90.17251586914062,93,0.845260355270111,0.9576278807154794,0.9366666666666666,0.6528205619009323
128,10.15,90.91691589355469,93,0.8641891251033156,0.9675170530117505,0.9516666666666667,0.538893794603556
129,10.19,90.9175033569336,94,0.8652177644088542,0.9673168603365898,0.955,0.5377585018570519
130,10.13,90.75922393798828,94,0.8578693729703852,0.9625222628567273,0.9433333333333334,0.5949938834529074
131,10.13,90.46516418457031,95,0.8578863099512666,0.9675835822588126,0.9433333333333334,0.5583929901571433
132,10.12,90.41654968261719,96,0.8420457162987954,0.9576802923392792,0.9333333333333333,0.6316612530443656
133,10.15,90.71040344238281,97,0.8550194436540519,0.9614864955762557,0.9366666666666666,0.5985704209620216
134,10.16,90.66590881347656,97,0.8622673423392907,0.9660172759403446,0.9483333333333334,0.5514501294850293
135,10.13,90.97785949707031,98,0.8639971726533249,0.9687180041979573,0.9483333333333333,0.5630205736388935
136,10.13,90.95482635498047,98,0.8616497071031439,0.9668045834972371,0.9516666666666667,0.5429474585603647
137,10.14,90.80602264404297,99,0.8629820829324915,0.9667264561328399,0.95,0.5278078312604919
138,10.17,90.6234130859375,100,0.8553118888572733,0.9620334115736247,0.935,0.5937272757537745
139,10.14,90.27064514160156,101,0.8538993446517531,0.9633856428194342,0.9450000000000001,0.5746055000168802
140,10.14,90.3637924194336,102,0.862510105731926,0.9667316898864807,0.9533333333333333,0.5341530752863514
141,10.15,90.2822265625,103,0.8595122601158941,0.9659519830924089,0.9466666666666667,0.5385494020542397
142,10.12,90.14639282226562,104,0.8577700093492134,0.9661742910118775,0.9466666666666667,0.5372018481817462
143,10.15,90.10228729248047,105,0.8579709948556743,0.9659636579915353,0.9483333333333333,0.5435741943150573
144,10.14,90.17069244384766,106,0.859517905776188,0.9655130647822416,0.9516666666666667,0.5686551302885433
145,10.21,90.47685241699219,107,0.8430156407372781,0.9557759113901947,0.9299999999999999,0.6798119008475676
146,10.19,90.73099517822266,107,0.8572483503380621,0.963761672695499,0.9416666666666667,0.5601166789479729
147,10.14,90.8069076538086,108,0.8567763731374967,0.9634604933729789,0.9483333333333334,0.5710741281124762
148,10.2,90.70989990234375,109,0.8583899028494776,0.9639740672234083,0.9466666666666667,0.5740445787288883
149,10.16,90.8121109008789,109,0.8565268349525087,0.962450844496719,0.9416666666666667,0.5910190707684724
150,10.13,90.88651275634766,110,0.8552938227443329,0.9607939344656922,0.9383333333333334,0.6035404767195273
151,10.15,90.85755157470703,111,0.8549991192769941,0.9622835428057647,0.9433333333333334,0.5948913635957633
152,10.12,90.56452941894531,112,0.8519662705671405,0.9603664783205323,0.9366666666666666,0.6033471952673987
153,10.15,90.66389465332031,113,0.856872349362492,0.9624696059011114,0.9400000000000001,0.5779435954309633
