population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
foldbench_designed,depth_tier,all,seq-KNN (decontaminated corpus),all,R,16,0.047704518273254226,0.004840435645945123,0.11714981761847543
foldbench_designed,depth_tier,all,ESMFold2,long,R,16,0.8665054839894886,0.8396427512643044,0.8957073944994366
foldbench_designed,depth_tier,all,MarinFold #232 m2-p06 (step 363k),long,R,16,0.550509690873053,0.42864568091259486,0.6741657397332532
foldbench_designed,depth_tier,all,Protenix-v2 + MSA,long,R,16,0.8390761502600017,0.803473886955239,0.8717054653562262
foldbench_designed,depth_tier,all,Protenix-v2 single-seq,long,R,16,0.8312303314678369,0.7944352708737815,0.8669267285492699
foldbench_designed,depth_tier,all,seq-KNN (decontaminated corpus),long,R,16,0.027011846405228756,0.0,0.06597222222222222
foldbench_natural,depth_tier,10-100,ESMFold2,all,AUC,5,0.8216699828112362,0.6858569781202547,0.907885637826892
foldbench_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,AUC,21,0.87746537967221,0.8430809030450334,0.9116524211132434
foldbench_natural,depth_tier,10-100,Protenix-v2 + MSA,all,AUC,5,0.8511560083944145,0.7086091150434706,0.935930908235237
foldbench_natural,depth_tier,10-100,Protenix-v2 single-seq,all,AUC,5,0.6089529827496738,0.5569550866347772,0.6536930947222699
foldbench_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),all,AUC,21,0.5337857464278754,0.5103601805687875,0.5623142496969413
foldbench_natural,depth_tier,10-100,ESMFold2,all,R,21,0.5164562783942639,0.38258893434281793,0.6411803920212595
foldbench_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,R,21,0.32721083888235186,0.24786353520213023,0.41498385974477675
foldbench_natural,depth_tier,10-100,Protenix-v2 + MSA,all,R,21,0.7873231196634581,0.7096166894573952,0.8405528979748554
foldbench_natural,depth_tier,10-100,Protenix-v2 single-seq,all,R,21,0.2941623103287309,0.17957156380617215,0.4212030399551404
foldbench_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),all,R,21,0.07283352758326826,0.028471564163215637,0.12664862605299107
foldbench_natural,depth_tier,10-100,ESMFold2,long,R,21,0.4896711711088478,0.3539740930858815,0.6192065455890555
foldbench_natural,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),long,R,21,0.2775050567996226,0.18955244050636627,0.3765705622915524
foldbench_natural,depth_tier,10-100,Protenix-v2 + MSA,long,R,21,0.7587546822167851,0.6699350892814363,0.8191537624306174
foldbench_natural,depth_tier,10-100,Protenix-v2 single-seq,long,R,21,0.26342027293308523,0.14516289971716498,0.39431878336953996
foldbench_natural,depth_tier,10-100,seq-KNN (decontaminated corpus),long,R,21,0.059274764461605095,0.017181501817056497,0.1103461792934977
foldbench_natural,depth_tier,100-1000,ESMFold2,all,AUC,24,0.8834624379776977,0.8347739184075706,0.9225811442976332
foldbench_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,AUC,63,0.9117801121369985,0.8877669442661188,0.9331193312709849
foldbench_natural,depth_tier,100-1000,Protenix-v2 + MSA,all,AUC,24,0.947250386120695,0.9306497420178554,0.9609679304024243
foldbench_natural,depth_tier,100-1000,Protenix-v2 single-seq,all,AUC,24,0.6408907002021254,0.5985198581772821,0.6854485022628803
foldbench_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,AUC,63,0.6763259071900343,0.6426883724597494,0.7107114513789284
foldbench_natural,depth_tier,100-1000,ESMFold2,all,R,63,0.7453485053152318,0.6968178893200505,0.788498542191819
foldbench_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,R,63,0.4569339608876329,0.4099350816038225,0.5029668742700603
foldbench_natural,depth_tier,100-1000,Protenix-v2 + MSA,all,R,63,0.8370992544736259,0.818550260725686,0.8536628645672618
foldbench_natural,depth_tier,100-1000,Protenix-v2 single-seq,all,R,63,0.30303258081795353,0.2484248834831993,0.3621382239997679
foldbench_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,R,63,0.2873502627547698,0.2365773408791909,0.3377629866747817
foldbench_natural,depth_tier,100-1000,ESMFold2,long,R,63,0.7292340829417807,0.6769274670174857,0.7760519335836883
foldbench_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),long,R,63,0.43052301450897984,0.38010336625297303,0.4798877379491597
foldbench_natural,depth_tier,100-1000,Protenix-v2 + MSA,long,R,63,0.8231167092139287,0.8001552221574693,0.8431675502008146
foldbench_natural,depth_tier,100-1000,Protenix-v2 single-seq,long,R,63,0.27303299150286864,0.21498460788915372,0.33626416578145507
foldbench_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),long,R,63,0.27594394869460037,0.22426531509757638,0.3269889639508096
foldbench_natural,depth_tier,1000+,ESMFold2,all,AUC,68,0.9503069644435873,0.9394385116467575,0.9587950472755251
foldbench_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),all,AUC,225,0.9593134976454737,0.9511205744378095,0.9666769835212372
foldbench_natural,depth_tier,1000+,Protenix-v2 + MSA,all,AUC,68,0.9620389060664795,0.9573440836224116,0.9661785720624388
foldbench_natural,depth_tier,1000+,Protenix-v2 single-seq,all,AUC,68,0.645406281080654,0.6169119505951917,0.6766644023934645
foldbench_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),all,AUC,225,0.8340824298656909,0.8212154380703346,0.8464377439008073
foldbench_natural,depth_tier,1000+,ESMFold2,all,R,225,0.8378634856964695,0.8259892258662402,0.8481904497482546
foldbench_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),all,R,225,0.6226936100923036,0.6006890763679351,0.6437508433281437
foldbench_natural,depth_tier,1000+,Protenix-v2 + MSA,all,R,225,0.8643623136593068,0.8582108566596643,0.8702936129804378
foldbench_natural,depth_tier,1000+,Protenix-v2 single-seq,all,R,225,0.24955557055023084,0.22206817611810328,0.2782696399127789
foldbench_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),all,R,225,0.49826136883753447,0.48025174526182235,0.5153593891060272
foldbench_natural,depth_tier,1000+,ESMFold2,long,R,225,0.830796262469802,0.8176807572386819,0.8421914676548857
foldbench_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),long,R,225,0.6070454473127984,0.5829772287833336,0.6300550299482316
foldbench_natural,depth_tier,1000+,Protenix-v2 + MSA,long,R,225,0.8569713944042633,0.8501685694592225,0.8636827890506419
foldbench_natural,depth_tier,1000+,Protenix-v2 single-seq,long,R,225,0.21121563628406256,0.1827818323944176,0.2402034337206117
foldbench_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),long,R,225,0.48695155482817337,0.4671379706830241,0.5061714539871703
foldbench_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,AUC,5,0.8913985951667659,0.8631495704392975,0.9191507694973359
foldbench_natural,depth_tier,<10,seq-KNN (decontaminated corpus),all,AUC,5,0.5115739870936874,0.5015431071670673,0.5265589312771898
foldbench_natural,depth_tier,<10,ESMFold2,all,R,5,0.6635803928252441,0.5235286283341203,0.803632157316368
foldbench_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,R,5,0.3416787090356884,0.257745324850588,0.393390834946899
foldbench_natural,depth_tier,<10,Protenix-v2 + MSA,all,R,5,0.3196264397522978,0.16750136210090438,0.47175151740369137
foldbench_natural,depth_tier,<10,Protenix-v2 single-seq,all,R,5,0.30507132286308486,0.08781676413255356,0.5450173417564722
foldbench_natural,depth_tier,<10,seq-KNN (decontaminated corpus),all,R,5,0.02686931002720474,0.0074074074074074,0.05684981684981679
foldbench_natural,depth_tier,<10,ESMFold2,long,R,5,0.653761002274899,0.5154155743945874,0.7921064301552107
foldbench_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),long,R,5,0.2876410521560833,0.21095034290723452,0.36433176140493206
foldbench_natural,depth_tier,<10,Protenix-v2 + MSA,long,R,5,0.2998071301134262,0.09361738678811846,0.5059968734387338
foldbench_natural,depth_tier,<10,Protenix-v2 single-seq,long,R,5,0.2708209715810397,0.05194245346258958,0.5266354010540057
foldbench_natural,depth_tier,<10,seq-KNN (decontaminated corpus),long,R,5,0.007147344997600219,0.0009756097560975599,0.013864042933810342
foldbench_natural,depth_tier,all,ESMFold2,all,AUC,97,0.9271373402854111,0.9102713394827944,0.9417874971777629
foldbench_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,AUC,314,0.9432211782923973,0.9348436849993744,0.9512756251353394
foldbench_natural,depth_tier,all,Protenix-v2 + MSA,all,AUC,97,0.9526642775400964,0.9420787663977608,0.9606657954719593
foldbench_natural,depth_tier,all,Protenix-v2 single-seq,all,AUC,97,0.6424099879596272,0.6196168759153934,0.6667956814466128
foldbench_natural,depth_tier,all,seq-KNN (decontaminated corpus),all,AUC,314,0.7772116225579824,0.7610704409250474,0.7931279553484362
foldbench_natural,depth_tier,all,ESMFold2,all,R,314,0.7950309679202898,0.7765550741282364,0.8124294039274486
foldbench_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,R,314,0.5651997546764236,0.5428813410469716,0.5866390423977885
foldbench_natural,depth_tier,all,Protenix-v2 + MSA,all,R,314,0.8450658959136197,0.8338105975271874,0.855248736569233
foldbench_natural,depth_tier,all,Protenix-v2 single-seq,all,R,314,0.2641522964858337,0.23948493206251129,0.28946775598576946
