mode,reference,reference_label,range,N,metric,n,reference_mean,guided_mean,mean_delta,ci95_low,ci95_high
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,all,100,incremental_true_union_recall_1_to_100,81,0.5238324517878455,0.46839142828686453,-0.055441023500980985,-0.0731516910603324,-0.03871838048502553
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,validity_gated_oracle_r_precision,81,0.5278822565561367,0.5473982089335377,0.019515952377401037,0.011191419827821295,0.028001190835961958
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,oracle_r_precision,81,0.5278822565561367,0.5473982089335377,0.019515952377401037,0.011138248004379596,0.02804640290457544
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,consensus_r_precision,81,0.5509065287018526,0.5529931291848726,0.002086600483019996,-0.004413114354667697,0.009085326446146602
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,true_union_recall,81,0.9210169396871571,0.8994461040388175,-0.021570835648339535,-0.028251542480574765,-0.015498771327865967
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,union_recall_log_n_auc,81,0.7084270319295413,0.7070926223907923,-0.0013344095387491368,-0.007859689981118521,0.0051298336241641825
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,mean_rollout_precision,81,0.38967211684408404,0.41550994600489544,0.025837829160811288,0.022027480249977315,0.029717992495167763
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,mean_pairwise_jaccard,81,0.2749855793864584,0.32203027737352863,0.04704469798707023,0.042740969617101325,0.05126427782102204
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,mean_contacts,81,180.36234567901235,169.63716049382714,-10.725185185185184,-13.88062037037037,-8.001478395061728
full_g05_pa_all,full_iid_single,ordinary iid T=1.0,long,100,incremental_true_union_recall_1_to_100,81,0.526084302655905,0.46292731196833936,-0.0631569906875655,-0.08275598185655697,-0.04441886202733151
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,validity_gated_oracle_r_precision,81,0.516907092117029,0.5554337572561839,0.03852666513915492,0.03047632307911335,0.04642839301387693
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,oracle_r_precision,81,0.5170070571292747,0.5554337572561839,0.038426700126909207,0.030417157836829464,0.04629187743585782
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,consensus_r_precision,81,0.5612281052915203,0.5695113353754813,0.008283230083960839,0.002826446009306716,0.014034895953963858
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,true_union_recall,81,0.9496719797333929,0.9175096867611292,-0.03216229297226382,-0.040040860129888056,-0.024887763858459616
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,union_recall_log_n_auc,81,0.7404389250423202,0.7273722292585361,-0.013066695783784242,-0.018205679716938983,-0.007884090346269863
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,mean_rollout_precision,81,0.38899603670595284,0.43575512791387394,0.046759091207921044,0.04125270274227617,0.05226736719220355
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,mean_pairwise_jaccard,81,0.2626844546564373,0.33339265418016334,0.0707081995237261,0.06549496652271128,0.07570138836211827
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,mean_contacts,81,285.0676543209877,244.6991358024691,-40.36851851851852,-49.71613580246915,-32.224929012345676
full_g05_pa_all,full_t11_single,ordinary T=1.1,all,100,incremental_true_union_recall_1_to_100,81,0.5309695801016361,0.46839142828686453,-0.06257815181477147,-0.08001016287537303,-0.04588464672456488
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,validity_gated_oracle_r_precision,81,0.5112425035400575,0.5473982089335377,0.03615570539348022,0.027674669170547856,0.044945232310467265
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,oracle_r_precision,81,0.5113550781207172,0.5473982089335377,0.036043130812820526,0.02764987635338717,0.044682721366756474
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,consensus_r_precision,81,0.5455183151240445,0.5529931291848726,0.007474814060828293,0.000641144289402771,0.014963130385396825
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,true_union_recall,81,0.9360749653506427,0.8994461040388175,-0.03662886131182539,-0.04615640971350778,-0.02782053293547759
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,union_recall_log_n_auc,81,0.7212106364145389,0.7070926223907923,-0.014118014023746541,-0.02052251068730153,-0.007666635942039246
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,mean_rollout_precision,81,0.3725146405000815,0.41550994600489544,0.04299530550481385,0.03728678942229685,0.04872298745680103
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,mean_pairwise_jaccard,81,0.25337077218516024,0.32203027737352863,0.06865950518836839,0.06273188863997929,0.07441407326644195
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,mean_contacts,81,198.0883950617284,169.63716049382714,-28.45123456790124,-35.6775524691358,-22.239851851851853
full_g05_pa_all,full_t11_single,ordinary T=1.1,long,100,incremental_true_union_recall_1_to_100,81,0.5344080255726775,0.46292731196833936,-0.07148071360433815,-0.09134520182726627,-0.05288061854134252
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,validity_gated_oracle_r_precision,81,0.4774286253060052,0.5554337572561839,0.07800513195017876,0.06912661881522235,0.08712694240927468
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,oracle_r_precision,81,0.4777530986148463,0.5554337572561839,0.07768065864133754,0.06886198920471957,0.08669098295092757
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,consensus_r_precision,81,0.548987965412833,0.5695113353754813,0.020523369962648242,0.013839380356298883,0.02776861578729858
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,true_union_recall,81,0.9612096629751656,0.9175096867611292,-0.04369997621403626,-0.055799853821891704,-0.03308058430388355
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,union_recall_log_n_auc,81,0.758475553282113,0.7273722292585361,-0.031103324023576982,-0.03904651607299441,-0.023520129735012996
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,mean_rollout_precision,81,0.3526567682066083,0.43575512791387394,0.08309835970726555,0.07444213075392699,0.09163799817055714
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,mean_pairwise_jaccard,81,0.25519610315486524,0.33339265418016334,0.07819655102529814,0.0713829686587377,0.08468661120102132
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,mean_contacts,81,353.3522222222223,244.6991358024691,-108.65308641975311,-129.84145370370373,-89.82632407407408
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,all,100,incremental_true_union_recall_1_to_100,81,0.5186001679697062,0.46839142828686453,-0.0502087396828416,-0.06912119662194131,-0.03174369251259855
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,validity_gated_oracle_r_precision,81,0.47130569166763114,0.5473982089335377,0.07609251726590652,0.06491117887691747,0.08741516673354063
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,oracle_r_precision,81,0.4718659407711795,0.5473982089335377,0.07553226816235825,0.06422039390177728,0.08679720789883923
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,consensus_r_precision,81,0.5326719719503153,0.5529931291848726,0.020321157234557293,0.012797902566197828,0.028977289283960303
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,true_union_recall,81,0.9528362800289938,0.8994461040388175,-0.05339017599017618,-0.06859820121126801,-0.039716430287370964
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,union_recall_log_n_auc,81,0.741489465789785,0.7070926223907923,-0.03439684339899271,-0.043333107520171714,-0.025597404757173575
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,mean_rollout_precision,81,0.3363586156489535,0.41550994600489544,0.07915133035594187,0.06899641444974279,0.08919557655947498
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,mean_pairwise_jaccard,81,0.24531757304738236,0.32203027737352863,0.07671270432614627,0.06835888435507416,0.08469141438756657
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,mean_contacts,81,257.5134567901234,169.63716049382714,-87.87629629629629,-106.43507407407407,-71.13033024691357
full_g05_pa_all,full_ratio_pa_pos,pure native/null ratio,long,100,incremental_true_union_recall_1_to_100,81,0.522657620747367,0.46292731196833936,-0.059730308779027595,-0.08200416959231258,-0.03824427642257101
