subset,predictor,feature,n,rho,p,q
eval-test,#232 m2-p06 (decontaminated),frac_charged,217,-0.07361531078691902,0.28030986714217404,0.4573031065159335
eval-test,#232 m2-p06 (decontaminated),frac_helix,217,-0.06869151252932726,0.31382182863643493,0.4897797325539736
eval-test,#232 m2-p06 (decontaminated),frac_low_complexity,217,-0.06415958604795614,0.34688912165501734,0.5276623258977728
eval-test,#232 m2-p06 (decontaminated),exp199_best_identity,209,-0.04958754275259257,0.4758345021115323,0.6472308089174494
eval-test,#232 m2-p06 (decontaminated),n_contacts,217,-0.04435341570217714,0.5157484859884065,0.6826082902787733
eval-test,#232 m2-p06 (decontaminated),msa_n_near_identical,217,-0.037204547616925265,0.5856981093428174,0.7566434905385679
eval-test,#232 m2-p06 (decontaminated),n_long_contacts,217,-0.03415533142408738,0.6168078814932502,0.7782155514167175
eval-test,#232 m2-p06 (decontaminated),radius_of_gyration,217,-0.03347476885101315,0.6238483754415497,0.7816197743351203
eval-test,#232 m2-p06 (decontaminated),is_membrane,205,-0.03204988654109207,0.6482491781707429,0.8010401743986297
eval-test,#232 m2-p06 (decontaminated),n_transmembrane,205,-0.02940670451527255,0.67554070578566,0.8216035610906676
eval-test,#232 m2-p06 (decontaminated),mean_contact_order,217,-0.0272117551588137,0.6901785251861314,0.8337727149899574
eval-test,#232 m2-p06 (decontaminated),n_go,217,-0.021192878451473253,0.7562398024793564,0.8651896045314671
eval-test,#232 m2-p06 (decontaminated),length,217,-0.01727912755576833,0.8002015949550566,0.8909461057231558
eval-test,#232 m2-p06 (decontaminated),frac_long_contacts,217,-0.005080993192363627,0.9406794688581005,0.9806311065316106
eval-test,#232 m2-p06 (decontaminated),knn_best_identity,217,-0.0004037103775327086,0.9952823936408762,0.998982328189727
eval-test,#232 m2-p06 (decontaminated),knn_best_bits,217,0.009504887358822836,0.8892840565878734,0.9585097615917197
eval-test,#232 m2-p06 (decontaminated),frac_hydrophobic,217,0.01387485734806955,0.8389640945387711,0.9170862571881303
eval-test,#232 m2-p06 (decontaminated),relative_contact_order,217,0.026258738918194937,0.7004985287239098,0.8424703908928982
eval-test,#232 m2-p06 (decontaminated),n_sse,217,0.0317607794357108,0.6417304818939497,0.7948038078503047
eval-test,#232 m2-p06 (decontaminated),resolved_fraction,217,0.046649550921042705,0.49423152923936386,0.6672125644731411
eval-test,#232 m2-p06 (decontaminated),n_pfam,217,0.06909396506417095,0.31098833028111583,0.48676434304870303
eval-test,#232 m2-p06 (decontaminated),frac_coil,217,0.07777753637529225,0.2539338901117769,0.4325687717992414
eval-test,#232 m2-p06 (decontaminated),exp199_esm_atlas_best_identity,196,0.09309105659319093,0.1943703319941557,0.3606872140097735
eval-test,#232 m2-p06 (decontaminated),n_interpro,217,0.09642517462037029,0.15691371420569397,0.30589677137572113
eval-test,#232 m2-p06 (decontaminated),frac_sheet,217,0.10255110422001784,0.13208771289828852,0.2671436890077745
eval-test,#232 m2-p06 (decontaminated),frac_proline,217,0.10560699425723177,0.12089127317443771,0.2501198755333194
eval-test,#232 m2-p06 (decontaminated),is_secreted,205,0.11651883318635059,0.09615909341029184,0.21909666852977888
eval-test,#232 m2-p06 (decontaminated),median_contact_separation,217,0.12384258917469479,0.06863815619377917,0.1715953904844479
eval-test,#232 m2-p06 (decontaminated),mean_hydropathy,217,0.12726260617948498,0.06127800307841445,0.15535268386076903
eval-test,#232 m2-p06 (decontaminated),has_signal_peptide,205,0.1589879235729821,0.022789603995906186,0.07325229855826988
eval-test,#232 m2-p06 (decontaminated),n_uniprot_domains,205,0.17144943315429478,0.013971319948471558,0.04805422147881937
eval-test,#232 m2-p06 (decontaminated),kingdom_bacteria,217,0.21430775919036982,0.0014947793399817898,0.007206971817769344
eval-test,#232 m2-p06 (decontaminated),residual_identity_anycov,217,0.22864711939015375,0.0006893033268990095,0.0034787270703314503
eval-test,#232 m2-p06 (decontaminated),frac_glycine,217,0.2307735669916177,0.0006120057550588461,0.003208573861473562
eval-test,#232 m2-p06 (decontaminated),residual_identity_cov40,217,0.23584827282727133,0.0004587500032285027,0.0024772500174339144
eval-test,#232 m2-p06 (decontaminated),residual_identity_cov30,217,0.25151287482923396,0.0001811271731111589,0.0011506902762355978
eval-test,#232 m2-p06 (decontaminated),train_afdb_n_hits,217,0.28340117583980723,2.256627579837561e-05,0.00017920277839886514
eval-test,#232 m2-p06 (decontaminated),knn_n_hits,217,0.4066247941037907,4.769990671156632e-10,7.154986006734948e-09
eval-test,#232 m2-p06 (decontaminated),msa_depth,217,0.407150922689354,4.508471222503471e-10,7.160513118093749e-09
eval-test,#232 m2-p06 (decontaminated),msa_log_depth,217,0.407150922689354,4.508471222503471e-10,6.955927029005356e-09
eval-test,#232 m2-p06 (decontaminated),train_n_hits_significant,217,0.477201079104238,9.676284008454874e-14,2.271823201985057e-12
eval-test,#232 m2-p06 (decontaminated),train_log_n_hits,217,0.477201079104238,9.676284008454874e-14,2.1771639019023464e-12
eval-test,#232 m2-p06 (decontaminated),train_esm_n_hits,217,0.48863024470426886,2.0122091601719757e-14,4.93905884769485e-13
eval-test,#232 m2-p06 (decontaminated),n_surviving_alignments,217,0.5509876330805624,1.2524512075250193e-18,3.559598168755318e-17
eval-test,ESMFold,is_viral,217,-0.16166074788865034,0.01715562109935175,0.05718540366450583
eval-test,ESMFold,kingdom_virus,217,-0.16166074788865034,0.01715562109935175,0.056834572967177574
eval-test,ESMFold,kingdom_archaea,217,-0.10885216531492067,0.10982370070185778,0.2362740971275028
eval-test,ESMFold,frac_polar,217,-0.10743687610129458,0.1145485807409219,0.24162591250038215
eval-test,ESMFold,rg_over_length,217,-0.098720500761031,0.14722945201394966,0.29337233980639416
eval-test,ESMFold,frac_low_complexity,217,-0.08878721171750549,0.19259596198009413,0.35862696368707186
eval-test,ESMFold,mean_contact_order,217,-0.06772420596515334,0.3207009957594761,0.4976394761784974
eval-test,ESMFold,contacts_per_residue,217,-0.06267100292453989,0.35821435744430685,0.5373215361664603
eval-test,ESMFold,frac_charged,217,-0.061198898769794494,0.36963863916606554,0.5483650141474599
eval-test,ESMFold,n_transmembrane,205,-0.06042540123718888,0.3894271917880072,0.5592837328870316
eval-test,ESMFold,radius_of_gyration,217,-0.0505763324939575,0.458567741419,0.6300930798123664
eval-test,ESMFold,relative_contact_order,217,-0.04042959231033719,0.5536044914179732,0.7238412236457761
eval-test,ESMFold,long_contacts_per_residue,217,-0.03462519417854101,0.6119673829588349,0.7757333023421852
eval-test,ESMFold,n_long_contacts,217,-0.0318242046841758,0.6410649901586623,0.7958048153693739
eval-test,ESMFold,n_contacts,217,-0.02914006408706869,0.6694730368554279,0.821625999777116
eval-test,ESMFold,frac_long_contacts,217,-0.02909525754275499,0.6699514075783637,0.8203486623408535
eval-test,ESMFold,length,217,-0.028864478676812196,0.6724173878405711,0.8196509919501319
eval-test,ESMFold,is_membrane,205,-0.028856754560109815,0.6812741916880394,0.8267147494641376
eval-test,ESMFold,frac_helix,217,-0.024911178164407896,0.7151847600901696,0.8506602873319198
eval-test,ESMFold,n_sse,217,-0.023820493580537224,0.7271489020915793,0.8554692965783286
eval-test,ESMFold,msa_mean_coverage,217,-0.022625821340003373,0.7403298569037654,0.8597378983398566
eval-test,ESMFold,is_secreted,205,-0.01569108428468448,0.8233003652490513,0.9091660475142898
eval-test,ESMFold,train_best_evalue_log,209,-0.004811052802427801,0.9448814857026668,0.9755946506299046
eval-test,ESMFold,frac_sheet,217,0.017267971762052203,0.8003278800637678,0.8892532000708531
eval-test,ESMFold,resolved_fraction,217,0.01856045315517101,0.7857321121089087,0.8802807894996073
eval-test,ESMFold,n_uniprot_xrefs,217,0.02220640622292705,0.7449755545909945,0.8595871783742244
eval-test,ESMFold,kingdom_eukaryote,217,0.025354594220700948,0.7103403603945546,0.8524084324734655
eval-test,ESMFold,frac_coil,217,0.030653132958397115,0.653398196138672,0.8055594198969929
eval-test,ESMFold,has_signal_peptide,205,0.034682525231168354,0.6215249068263174,0.7805196504330498
eval-test,ESMFold,exp199_esm_atlas_best_identity,196,0.037719460072211386,0.5996655342705212,0.7637249728917015
eval-test,ESMFold,frac_hydrophobic,217,0.055306078169496356,0.41758131068702625,0.5841811082150108
eval-test,ESMFold,is_nuclear,205,0.05887535000949533,0.4017275542472932,0.567887118569472
eval-test,ESMFold,is_cytoplasmic,205,0.06000913236266596,0.39270793016194694,0.5610113288027814
eval-test,ESMFold,kingdom_bacteria,217,0.06090081756747832,0.3719789862622286,0.547326028832707
eval-test,ESMFold,mean_hydropathy,217,0.0669960834056806,0.32594322706077583,0.5043247639335786
eval-test,ESMFold,median_contact_separation,217,0.07577902862464139,0.26637628426695353,0.4467179922489283
eval-test,ESMFold,frac_proline,217,0.07894185182233039,0.2468731476513453,0.42187183459407107
eval-test,ESMFold,knn_best_qcov,217,0.08656405726834374,0.2040173753524913,0.3696959150682728
eval-test,ESMFold,has_ec,217,0.08953254762509373,0.18887327791902928,0.35661388138557976
eval-test,ESMFold,exp199_best_identity,209,0.0978624858537619,0.1586334436524793,0.30813690493647056
eval-test,ESMFold,n_pfam,217,0.10733913832272841,0.11488064843697986,0.24138346364190322
eval-test,ESMFold,n_uniprot_domains,205,0.11071751587638443,0.11401460638093845,0.24239325766026287
eval-test,ESMFold,exp199_afdb_best_identity,192,0.11088937766764945,0.12571479550298695,0.2571438998924733
eval-test,ESMFold,n_interpro,217,0.14335089739430337,0.034823403842995926,0.10219911997400978
eval-test,ESMFold,knn_best_bits,217,0.14993611136223536,0.02721367331959823,0.08302476605979121
eval-test,ESMFold,n_go,217,0.15129099071495142,0.02583871139113938,0.07973088086408724
eval-test,ESMFold,msa_n_near_identical,217,0.16163883516243163,0.01717088532545832,0.05653828094967984
eval-test,ESMFold,knn_best_identity,217,0.18641539291832845,0.005880065495347846,0.023347318878587035
eval-test,ESMFold,residual_identity_anycov,217,0.1877455162647555,0.005530285150523286,0.022286223740914737
eval-test,ESMFold,frac_glycine,217,0.21415346890173587,0.001506885262624957,0.007201044617853778
eval-test,ESMFold,residual_identity_cov30,217,0.2416154202586234,0.0003281163920249401,0.001884923954185826
eval-test,ESMFold,residual_identity_cov40,217,0.26221880212210436,9.266539075301952e-05,0.0006415296282901351
eval-test,ESMFold,n_surviving_alignments,217,0.31228556312500494,2.711466484912384e-06,2.2877998466448238e-05
eval-test,ESMFold,train_afdb_n_hits,217,0.34401364828312114,2.0156338061888734e-07,2.053664632720739e-06
eval-test,ESMFold,knn_n_hits,217,0.3630397726334457,3.670179565199534e-08,3.9637939304154964e-07
eval-test,ESMFold,train_esm_n_hits,217,0.3966140192679668,1.3690267589290282e-09,1.848186124554188e-08
eval-test,ESMFold,train_n_hits_significant,217,0.39694854930676976,1.3223767772679214e-09,1.9299552965531824e-08
eval-test,ESMFold,train_log_n_hits,217,0.39694854930676976,1.3223767772679214e-09,1.8791669992754673e-08
eval-test,ESMFold,msa_depth,217,0.43254813397780684,2.6302179276796333e-11,4.897647175679317e-10
eval-test,ESMFold,msa_log_depth,217,0.43254813397780684,2.6302179276796333e-11,4.73439226982334e-10
eval-test,ESMFold2,is_viral,217,-0.23729854939441808,0.0004219930732491691,0.002325267954638279
eval-test,ESMFold2,kingdom_virus,217,-0.23729854939441808,0.0004219930732491691,0.0023017803995409223
eval-test,ESMFold2,kingdom_archaea,217,-0.17431040849263502,0.010092388474482296,0.036823579569057026
eval-test,ESMFold2,rg_over_length,217,-0.16809046797452593,0.013156916652360727,0.046134642806979174
