predictor,feature,importance
ESMFold2,mean_hydropathy,0.002075371587766281
ESMFold2,frac_low_complexity,0.010515372077453742
ESMFold2,train_n_hits_significant,0.013982930609467425
ESMFold2,train_log_n_hits,0.0
ESMFold2,train_best_evalue_log,-0.0036894116080999767
ESMFold2,train_afdb_n_hits,-0.0056501616125795824
ESMFold2,train_esm_n_hits,0.02563816379983256
ESMFold2,residual_identity_cov40,-0.00044569246769473605
ESMFold2,residual_identity_cov30,-0.007014608922455701
ESMFold2,residual_identity_anycov,-0.007344648088037911
ESMFold2,n_surviving_alignments,-0.007134159680673702
ESMFold2,knn_n_hits,0.020752481813655316
ESMFold2,knn_best_bits,-0.013148534310785881
ESMFold2,knn_best_identity,-0.010248739198761436
ESMFold2,knn_best_qcov,-0.007511275684486946
ESMFold2,frac_helix,0.013675533012691702
ESMFold2,frac_sheet,0.022434678098804627
ESMFold2,frac_coil,0.009017343382166757
ESMFold2,n_sse,0.009880919847399961
ESMFold2,radius_of_gyration,-0.008154058539056616
ESMFold2,rg_over_length,-0.032285886458339755
ESMFold2,msa_depth,0.019436036907178187
ESMFold2,msa_log_depth,0.0
ESMFold2,msa_n_near_identical,-0.010490258817681416
ESMFold2,msa_mean_coverage,0.009857107357928042
ESMFold2,n_pfam,-0.0011496180939724043
ESMFold2,n_interpro,-3.611662907471724e-05
ESMFold2,n_go,-0.0034194395703936813
ESMFold2,has_ec,0.0
ESMFold2,n_uniprot_domains,-0.009124686435180118
ESMFold2,n_transmembrane,0.0
ESMFold2,has_signal_peptide,0.0
ESMFold2,is_membrane,-0.00037019908156730454
ESMFold2,is_secreted,-0.003584085745525459
ESMFold2,is_cytoplasmic,-0.00456216155383686
ESMFold2,is_nuclear,0.0
ESMFold2,kingdom_bacteria,-0.005473024453492259
ESMFold2,kingdom_eukaryote,-0.00011588151828086646
ESMFold2,kingdom_archaea,0.0
ESMFold2,kingdom_virus,0.0
Protenix-v2 + MSA,length,0.013788332941779469
Protenix-v2 + MSA,is_viral,0.0
Protenix-v2 + MSA,n_uniprot_xrefs,0.0
Protenix-v2 + MSA,exp199_best_identity,0.0005137466361966797
Protenix-v2 + MSA,exp199_afdb_best_identity,-0.0040995170068076296
Protenix-v2 + MSA,exp199_esm_atlas_best_identity,0.003785465858979009
Protenix-v2 + MSA,n_contacts,-0.001815854207125034
Protenix-v2 + MSA,contacts_per_residue,0.006226146352525111
Protenix-v2 + MSA,resolved_fraction,-0.0075032082225193865
Protenix-v2 + MSA,mean_contact_order,-0.007363704233921478
Protenix-v2 + MSA,relative_contact_order,-0.03214188774238471
Protenix-v2 + MSA,median_contact_separation,-0.003947970689479882
Protenix-v2 + MSA,frac_long_contacts,0.022183812309595145
Protenix-v2 + MSA,n_long_contacts,-0.0011299512086250102
Protenix-v2 + MSA,long_contacts_per_residue,0.00159002181815521
Protenix-v2 + MSA,frac_hydrophobic,0.0015097702578636158
