selection,cohort,stem,L,bundle_size,n_contact_neighborhoods,n_stable_clusters,fallback_fraction,mean_cluster_visits,mean_retained_cluster_stability
natural-heldout,eval-val,7v3o_A,328,5,1329.0,2.0,0.0,5.0,0.4780595608755502
natural-heldout,eval-val,7ylr_A,330,3,479.0,9.0,0.0,8.777777777777779,0.3099874818532125
natural-heldout,eval-val,7ylr_A,330,5,479.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8bux_A,334,3,1852.0,45.0,0.0,4.2444444444444445,0.40045385312459636
natural-heldout,eval-val,8bux_A,334,5,1852.0,2.0,0.0,2.5,0.3616725571474313
natural-heldout,eval-val,7xjr_A,337,3,612.0,23.0,0.0,11.91304347826087,0.3869616433211222
natural-heldout,eval-val,7xjr_A,337,5,612.0,1.0,0.0,4.0,0.3175553311319212
natural-heldout,eval-val,7y4h_A,338,3,755.0,26.0,0.0,8.961538461538462,0.3483811968095963
natural-heldout,eval-val,7y4h_A,338,5,755.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7yyg_A,365,3,2485.0,77.0,0.0,5.571428571428571,0.4407249603610114
natural-heldout,eval-val,7yyg_A,365,5,2485.0,11.0,0.0,3.5454545454545454,0.4598973786367774
natural-heldout,eval-val,8e5h_A,372,3,791.0,25.0,0.0,6.28,0.34966483850739827
natural-heldout,eval-val,8e5h_A,372,5,791.0,1.0,0.0,2.0,0.4453294015958084
natural-heldout,eval-val,7qsj_A,373,3,834.0,27.0,0.0,11.074074074074074,0.4112697917599835
natural-heldout,eval-val,7qsj_A,373,5,834.0,3.0,0.0,13.0,0.41345485804895477
natural-heldout,eval-val,8dqd_A,377,3,455.0,18.0,0.0,11.777777777777779,0.3398269519760914
natural-heldout,eval-val,8dqd_A,377,5,455.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8cpk_A,384,3,463.0,10.0,0.0,10.2,0.3471699617271933
natural-heldout,eval-val,8cpk_A,384,5,463.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7uk8_A,394,3,821.0,37.0,0.0,10.945945945945946,0.3447157570176037
natural-heldout,eval-val,7uk8_A,394,5,821.0,1.0,0.0,20.0,0.3817369109282936
natural-heldout,eval-val,7xrx_A,398,3,2071.0,90.0,0.0,11.077777777777778,0.42555119283226317
natural-heldout,eval-val,7xrx_A,398,5,2071.0,15.0,0.0,13.6,0.4771751593782438
natural-heldout,eval-val,8amo_A,399,3,693.0,31.0,0.0,10.548387096774194,0.349184505164375
natural-heldout,eval-val,8amo_A,399,5,693.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8bfy_A,426,3,632.0,18.0,0.0,10.666666666666666,0.340043094795504
natural-heldout,eval-val,8bfy_A,426,5,632.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8b5w_A,459,3,3753.0,106.0,0.0,5.481132075471698,0.42873859797121056
