group,layer,head,bucket,bucket_index,mass_total,mass_coref,mass_expected,keys_all,keys_coref
struct_pos,3,0,2,2,0.0016040901131581964,5.358750321609194e-06,1.1223971376396267e-05,7752,50
struct_pos,3,0,3-4,3,0.003994710551203835,4.8119686545142895e-06,1.93508491853336e-05,15504,60
struct_pos,3,0,5-8,4,0.006951356758397184,1.8431520478399153e-05,4.941195014388865e-05,31008,178
struct_pos,3,0,9-16,5,0.01332395872095421,1.598179587219497e-05,7.582204424694352e-05,62016,289
struct_pos,3,0,17-32,6,0.02421377886805618,7.54140450314487e-05,0.00014524637297987452,122218,563
struct_pos,3,0,33-64,7,0.043026035476641265,4.181363928022192e-05,0.00021845646169495314,235138,991
struct_pos,3,0,65-128,8,0.06308325414687119,9.701722350800016e-05,0.0002954821270375594,432718,1760
struct_pos,3,0,129-256,9,0.07726791769773599,0.00012882195562806644,0.0003325230745197339,718284,2817
struct_pos,3,0,257-512,10,0.06775903407295913,0.00011924463175275624,0.00024094763483206583,935370,3174
struct_pos,3,0,513-1024,11,0.029761518176810352,5.500361604363272e-05,7.928199603028738e-05,661509,1731
struct_pos,3,0,1025-2048,12,0.003367307435402068,2.2338446235943536e-06,7.3238292704294454e-06,112003,242
struct_pos,3,1,0,0,0.002497274390161345,0.0,0.0,15504,0
struct_pos,3,1,1,1,0.0001798970658443599,1.065602181988727e-06,1.0038485381805338e-06,7752,40
struct_pos,3,1,2,2,0.000686817410352983,3.4689176894947346e-06,4.88893300330655e-06,7752,50
struct_pos,3,1,3-4,3,0.0012776596794602671,1.1207255216697913e-05,5.435674129457904e-06,15504,60
struct_pos,3,1,5-8,4,0.002238798974960335,1.3022084904967263e-05,1.3717414901869403e-05,31008,178
struct_pos,3,1,9-16,5,0.004334435681932605,2.8418931246026813e-05,2.2592132827802593e-05,62016,289
struct_pos,3,1,17-32,6,0.010550064014576538,7.914457618190655e-05,5.513252354997347e-05,122218,563
struct_pos,3,1,33-64,7,0.016949281849974327,0.00011439853438182942,8.28520181558928e-05,235138,991
struct_pos,3,1,65-128,8,0.030205033388915323,0.00014449894967439927,0.000141679204554099,432718,1760
struct_pos,3,1,129-256,9,0.04419590526628543,0.00017914033357449975,0.0002019465134810427,718284,2817
struct_pos,3,1,257-512,10,0.05066350539925175,0.00014282115499639905,0.00019436735206006974,935370,3174
struct_pos,3,1,513-1024,11,0.0347749476808328,6.790421576353542e-05,9.787909412879435e-05,661509,1731
struct_pos,3,1,1025-2048,12,0.004695029773579293,7.217688682047944e-06,1.0599490317950597e-05,112003,242
struct_pos,3,2,0,0,0.02500491325577223,0.0,0.0,15504,0
struct_pos,3,2,1,1,0.00568853077258611,0.00018258533518380793,3.455478632027131e-05,7752,40
struct_pos,3,2,2,2,0.0027647149317558584,3.841970167800369e-05,2.4001852709624596e-05,7752,50
struct_pos,3,2,3-4,3,0.008379930174756715,0.00012014851377031336,4.185682674515966e-05,15504,60
struct_pos,3,2,5-8,4,0.013823849159620618,0.00024303136065236358,9.45589495212893e-05,31008,178
struct_pos,3,2,9-16,5,0.03226306170255899,0.0006376733437326609,0.00018573478922902876,62016,289
struct_pos,3,2,17-32,6,0.055631718645400924,0.0010565143305389258,0.00032726602663029746,122218,563
struct_pos,3,2,33-64,7,0.09323958949530949,0.0015300523347468323,0.00046144407941395705,235138,991
struct_pos,3,2,65-128,8,0.13670510145901896,0.0022959578782320023,0.0006219653870766987,432718,1760
struct_pos,3,2,129-256,9,0.16997361066679098,0.0031325705810781603,0.0007325097451129916,718284,2817
struct_pos,3,2,257-512,10,0.14337113315491362,0.002440305701596326,0.0005085570468877638,935370,3174
struct_pos,3,2,513-1024,11,0.061587268262678685,0.0010856998886363302,0.000164233208358506,661509,1731
struct_pos,3,2,1025-2048,12,0.006896545478095703,0.00012186062844206797,1.4924607696786379e-05,112003,242
struct_pos,3,3,0,0,0.004741575634270383,0.0,0.0,15504,0
struct_pos,3,3,1,1,0.0062732844775921295,1.1352462467675745e-05,3.7887250380530895e-05,7752,40
struct_pos,3,3,2,2,0.003441018624263897,1.5869008165253042e-06,2.400782809215421e-05,7752,50
struct_pos,3,3,3-4,3,0.01039656683018333,1.954850544302433e-06,5.355405162781991e-05,15504,60
struct_pos,3,3,5-8,4,0.01781245693948862,2.2680700715731925e-05,0.00012720914720968892,31008,178
struct_pos,3,3,9-16,5,0.03802479820477827,1.3092235153011393e-05,0.00022833884585865755,62016,289
struct_pos,3,3,17-32,6,0.061314328290114586,4.037294600773324e-05,0.00037098469984578255,122218,563
struct_pos,3,3,33-64,7,0.10918667564943232,3.793468328738985e-05,0.0005544955853011487,235138,991
struct_pos,3,3,65-128,8,0.16147671223178858,5.700506901385799e-05,0.0007486181507634587,432718,1760
struct_pos,3,3,129-256,9,0.19520947981099104,9.526824596663792e-05,0.0008469260338638334,718284,2817
struct_pos,3,3,257-512,10,0.16287623053672268,5.218986271588868e-05,0.000583457399463548,935370,3174
struct_pos,3,3,513-1024,11,0.0717004844827541,1.5539457498073108e-05,0.00018992107350449992,661509,1731
struct_pos,3,3,1025-2048,12,0.00707866588628575,1.4868388748972824e-06,1.5347864831994976e-05,112003,242
struct_pos,3,4,0,0,0.012054483234205729,0.0,0.0,15504,0
struct_pos,3,4,1,1,0.006164219603326914,2.820732915856644e-06,3.577594783950939e-05,7752,40
struct_pos,3,4,2,2,0.00334203109083653,3.638602872508875e-06,2.4841633096144236e-05,7752,50
struct_pos,3,4,3-4,3,0.009429287000091206,6.583416079996602e-06,4.754608826999209e-05,15504,60
struct_pos,3,4,5-8,4,0.014156775593265537,1.0590544673883318e-05,0.00010228077237734034,31008,178
struct_pos,3,4,9-16,5,0.02970157251515502,2.5882513379587784e-05,0.00017755947448361235,62016,289
struct_pos,3,4,17-32,6,0.05518584403952332,9.829969139590906e-05,0.0003374789859282891,122218,563
struct_pos,3,4,33-64,7,0.08968582869314187,8.98990422639596e-05,0.00045951198590725385,235138,991
struct_pos,3,4,65-128,8,0.13295142175735458,0.00012348789046061974,0.0006330162890591253,432718,1760
struct_pos,3,4,129-256,9,0.1700604737412388,0.0002026082916613918,0.0007451329108795559,718284,2817
struct_pos,3,4,257-512,10,0.1524180249033267,0.00012830817925150748,0.0005524000315488685,935370,3174
struct_pos,3,4,513-1024,11,0.07226892472057381,7.193410921442035e-05,0.00019340092895556805,661509,1731
struct_pos,3,4,1025-2048,12,0.007225334905741508,4.8373995605429445e-06,1.5589015461871857e-05,112003,242
struct_pos,3,5,0,0,0.017925618448985742,0.0,0.0,15504,0
struct_pos,3,5,1,1,0.005696473637417005,7.54362395104363e-06,3.4244836801127014e-05,7752,40
struct_pos,3,5,2,2,0.0031581945848046687,3.3501741333150517e-05,2.458272255449382e-05,7752,50
struct_pos,3,5,3-4,3,0.009124080340067545,2.4032931855588505e-05,4.3870585319482713e-05,15504,60
struct_pos,3,5,5-8,4,0.013584761196983857,6.107982921811018e-05,9.403363532903065e-05,31008,178
struct_pos,3,5,9-16,5,0.02772447150066049,0.00010174169600148319,0.00015865271522919598,62016,289
struct_pos,3,5,17-32,6,0.048939812417123835,0.00032195575454563546,0.00028501037156265075,122218,563
struct_pos,3,5,33-64,7,0.0812251324255031,0.00046876536142100245,0.00040840489523389186,235138,991
struct_pos,3,5,65-128,8,0.11457585039768672,0.0007751306448750759,0.0005275785845144533,432718,1760
struct_pos,3,5,129-256,9,0.1389830511051804,0.001172600085275215,0.0005968248672597329,718284,2817
struct_pos,3,5,257-512,10,0.12306500084013884,0.0007572827444549254,0.00044205259121852326,935370,3174
struct_pos,3,5,513-1024,11,0.05462124465865739,0.00035711915604193516,0.0001464889824104567,661509,1731
struct_pos,3,5,1025-2048,12,0.005864550550809463,2.0714313795230707e-05,1.2745234116653182e-05,112003,242
struct_pos,3,6,0,0,0.07054194872593363,0.0,0.0,15504,0
struct_pos,3,6,1,1,0.0030599352879636184,0.00041086266683965924,2.2093571363774578e-05,7752,40
struct_pos,3,6,2,2,0.0021135415785760456,6.660515004221131e-05,1.8082027521684422e-05,7752,50
struct_pos,3,6,3-4,3,0.005084281719998063,0.00026270979699608124,2.6749432921546455e-05,15504,60
struct_pos,3,6,5-8,4,0.0069473212117750205,0.0004665902073319604,5.110006099083989e-05,31008,178
struct_pos,3,6,9-16,5,0.01669928988190012,0.0011211729197403329,0.00010153624147235925,62016,289
struct_pos,3,6,17-32,6,0.028009329602445242,0.0016273501885610837,0.00017736540173648167,122218,563
struct_pos,3,6,33-64,7,0.04669594297222063,0.0027607036398875576,0.00024517080027360765,235138,991
struct_pos,3,6,65-128,8,0.07640630554242522,0.003294252455080749,0.00036679678373418895,432718,1760
struct_pos,3,6,129-256,9,0.10773896043630023,0.005538018272326581,0.00048198834585401983,718284,2817
struct_pos,3,6,257-512,10,0.09381448748637802,0.004378655195544725,0.00034237128206811524,935370,3174
struct_pos,3,6,513-1024,11,0.04345469592191145,0.0023464906626256997,0.00011658243079631942,661509,1731
struct_pos,3,6,1025-2048,12,0.004717623001835295,0.00025494422205717577,1.0303213595868333e-05,112003,242
struct_pos,3,7,0,0,0.002373313069943304,0.0,0.0,15504,0
struct_pos,3,7,1,1,0.0008440753879934796,8.62955462698843e-05,6.622714631004238e-06,7752,40
struct_pos,3,7,2,2,0.0006904196627514958,0.00022217557835584877,7.397066984566037e-06,7752,50
struct_pos,3,7,3-4,3,0.0014281002746969922,3.768006347838724e-05,7.570518504956169e-06,15504,60
struct_pos,3,7,5-8,4,0.0021150181237204525,0.0005500014257505324,1.6491171515793022e-05,31008,178
struct_pos,3,7,9-16,5,0.004310338943427808,0.0004714422352742731,2.6765126986984898e-05,62016,289
struct_pos,3,7,17-32,6,0.008993322935082227,0.001292484550534049,6.475778279651536e-05,122218,563
struct_pos,3,7,33-64,7,0.02013923549184612,0.0020560225466087507,0.00011843414615650679,235138,991
struct_pos,3,7,65-128,8,0.03428575230456727,0.003074321365301085,0.0001899339481941238,432718,1760
struct_pos,3,7,129-256,9,0.06087322650771392,0.004043194450922426,0.0003111943171312022,718284,2817
struct_pos,3,7,257-512,10,0.08276664152726054,0.0037420554637064623,0.0003434879797399355,935370,3174
struct_pos,3,7,513-1024,11,0.06228495954360017,0.0014566762643886423,0.00018087491800396183,661509,1731
struct_pos,3,7,1025-2048,12,0.012820295443598823,0.00011685606615062345,2.9249036901598785e-05,112003,242
struct_pos,3,8,0,0,0.005067123632620485,0.0,0.0,15504,0
struct_pos,3,8,1,1,0.005823952479382171,1.0967727508338243e-05,3.318601279306e-05,7752,40
struct_pos,3,8,2,2,0.003359406198479689,9.656329211558842e-06,2.632882187685897e-05,7752,50
struct_pos,3,8,3-4,3,0.009407744011519741,9.77306662779013e-06,4.7500108370575815e-05,15504,60
struct_pos,3,8,5-8,4,0.015281233163809999,2.446874829107209e-05,0.00010444114269799521,31008,178
struct_pos,3,8,9-16,5,0.03288052024240956,6.852347030851248e-05,0.00018992557822477966,62016,289
struct_pos,3,8,17-32,6,0.05659856675702106,9.628641563280264e-05,0.0003230417796755226,122218,563
struct_pos,3,8,33-64,7,0.0930942085382247,0.00014497783401225557,0.000456827795577083,235138,991
struct_pos,3,8,65-128,8,0.12468612477014185,0.00016577625853827433,0.0005546624719141306,432718,1760
struct_pos,3,8,129-256,9,0.13509390345160438,0.00018538559305936221,0.0005466550739198343,718284,2817
struct_pos,3,8,257-512,10,0.10065131484347292,0.00015856508070447313,0.00034106132003760734,935370,3174
struct_pos,3,8,513-1024,11,0.03921793817981724,7.329496600202855e-05,0.00010274676919054021,661509,1731
struct_pos,3,8,1025-2048,12,0.0029291549526439488,9.03329942822341e-06,6.342913136426129e-06,112003,242
struct_pos,3,9,0,0,0.21562885647587732,0.0,0.0,15504,0
struct_pos,3,9,1,1,0.0021655417131058205,8.524100462472598e-07,1.7304204259363366e-05,7752,40
struct_pos,3,9,2,2,0.002292596028639067,7.464729668884908e-08,1.968033890085485e-05,7752,50
struct_pos,3,9,3-4,3,0.005318046029430302,3.6394540211075583e-07,2.5998343559100247e-05,15504,60
struct_pos,3,9,5-8,4,0.008309025175185149,4.1890630796219516e-07,6.319558372214707e-05,31008,178
struct_pos,3,9,9-16,5,0.019141486001088524,1.4641383618334402e-06,0.00011975120089138869,62016,289
struct_pos,3,9,17-32,6,0.030160313912343438,7.652556624372732e-06,0.00019408343534812797,122218,563
struct_pos,3,9,33-64,7,0.055968481689783814,4.574779340567479e-06,0.0003016825497002075,235138,991
struct_pos,3,9,65-128,8,0.08760159930946657,5.648834822469721e-06,0.0004241882208231814,432718,1760
struct_pos,3,9,129-256,9,0.13014930334582278,1.0819857943922251e-05,0.0005871502173478143,718284,2817
struct_pos,3,9,257-512,10,0.12047271250787511,1.0014836269685993e-05,0.0004436346148832454,935370,3174
struct_pos,3,9,513-1024,11,0.053172316890324284,9.210326360328117e-06,0.00014225767104870084,661509,1731
struct_pos,3,9,1025-2048,12,0.005632158026668187,7.63752647730748e-07,1.2439530748685033e-05,112003,242
struct_pos,3,10,0,0,0.006014926068800029,0.0,0.0,15504,0
struct_pos,3,10,1,1,0.005742958163452346,1.6013872535789714e-05,3.8353510770180894e-05,7752,40
struct_pos,3,10,2,2,0.003008849526706495,3.8500477572359045e-06,2.5179605415121685e-05,7752,50
struct_pos,3,10,3-4,3,0.009158364067505757,1.246719794122981e-05,4.517551901255163e-05,15504,60
struct_pos,3,10,5-8,4,0.014847791124177546,1.1248118871841215e-05,0.00010473693184030961,31008,178
struct_pos,3,10,9-16,5,0.033113694166374406,7.902634110478579e-05,0.00019520511882396832,62016,289
struct_pos,3,10,17-32,6,0.05745266957671773,4.116068976802484e-05,0.0003455491295191363,122218,563
struct_pos,3,10,33-64,7,0.09793660466023889,0.00010239590884218044,0.0004953086458425655,235138,991
struct_pos,3,10,65-128,8,0.1394581211609737,0.00014926585615338648,0.0006467217459244901,432718,1760
struct_pos,3,10,129-256,9,0.15653879552987338,0.00021612764251109894,0.0006570253388239205,718284,2817
struct_pos,3,10,257-512,10,0.12792540548063652,0.00016031172339178783,0.0004452331068548153,935370,3174
struct_pos,3,10,513-1024,11,0.050723007329431115,5.6742487287377576e-05,0.00013390006891133728,661509,1731
struct_pos,3,10,1025-2048,12,0.004237031596794463,3.303414410048898e-06,9.17561584524833e-06,112003,242
struct_pos,3,11,0,0,0.002644031296096842,0.0,0.0,15504,0
struct_pos,3,11,1,1,0.0030663181423095233,1.465825804185326e-06,2.0969679260460503e-05,7752,40
struct_pos,3,11,2,2,0.0031202822996705187,2.2371362698225015e-06,2.677174818392794e-05,7752,50
struct_pos,3,11,3-4,3,0.004836621206980371,3.211397566650951e-06,2.2899279344768897e-05,15504,60
struct_pos,3,11,5-8,4,0.009535021057315901,1.1583058352383205e-05,7.085273450407488e-05,31008,178
struct_pos,3,11,9-16,5,0.019877383275912888,1.8521294156829484e-05,0.00011599931981038463,62016,289
struct_pos,3,11,17-32,6,0.03501418352865213,3.6081663088755774e-05,0.00021116014543908827,122218,563
struct_pos,3,11,33-64,7,0.06222347572245957,6.701827011531521e-05,0.0003201304425688925,235138,991
