group,layer,head,mass_self,mass_prev1,mass_prev2,mass_prev3,mass_bos,mass_local_window
seq_pos,3,13,0.0020649675095946543,0.023615679170154894,0.00391524288820762,0.023287758016924953,0.015449086735571936,0.027530922058362516
seq_pos,3,14,0.0011022405667598628,0.004968935720881949,0.00033362211571467845,0.004395438638245876,0.030713422385572085,0.005302557836596627
seq_pos,3,15,0.011802714721346653,0.0034294172143184516,0.0013318763832564414,0.0026731646140443995,0.08177294583290057,0.004761293597574893
seq_pos,3,16,0.0008737865416631528,0.01898871615423232,0.0034536964586077213,0.01892669261193618,0.005715262986914487,0.02244241261284004
seq_pos,3,17,0.002164168259144738,0.021123364503227115,0.004169843400472498,0.01846247736965373,0.009466376871247443,0.025293207903699613
seq_pos,3,18,0.0016767158523581377,0.02671353729845394,0.0033466926164939293,0.025074007480990715,0.02666817437460533,0.030060229914947872
seq_pos,3,19,0.0014533446480615411,0.020844477127024977,0.0036034234553425806,0.018321858438610433,0.008972173667998903,0.02444790058236756
seq_pos,3,20,0.004438187641141816,0.01085547057219029,0.0021867291773086236,0.01180820970586489,0.011175349001122083,0.013042199749498915
seq_pos,3,21,0.00031969850767057316,0.011702706769209438,0.0014788167634725612,0.010604860215589325,0.01878928262646806,0.013181523532682
seq_pos,3,22,0.004526404353210671,0.009981868359155885,0.002568748207701857,0.009646610951023045,0.09380846190407147,0.012550616566857742
seq_pos,3,23,0.0016505058584439574,0.009817901804524402,0.0011628077825392303,0.009341650429991116,0.03270173349517606,0.010980709587063632
seq_pos,3,24,0.00022496594312584176,0.00046390804747516726,0.00023487379631518325,0.0006361265856983673,0.3844445587216352,0.0006987818437903505
seq_pos,3,25,3.890374607395103e-05,0.0005416473225030126,8.526541100369362e-05,0.000736999974137428,0.3921548013110601,0.0006269127335067062
seq_pos,3,26,2.68271812875835e-05,0.00047095981874210717,8.253608272092638e-05,0.0007320601262749739,0.38211031553135283,0.0005534959014630335
seq_pos,3,27,8.202159949461587e-07,0.00047104281308631146,3.971521814713355e-05,0.0006181002536776645,0.4493564464966222,0.000510758031233445
seq_pos,3,28,0.009613357609527974,0.006513305631766757,0.002419474032811889,0.006106214281303846,0.07504694271434557,0.008932779664578646
seq_pos,3,29,0.001071538118603282,0.0033398287500827992,0.0009815064674282372,0.004382772424409775,0.10004417598505647,0.004321335217511036
seq_pos,3,30,0.0397044420035815,0.004597768350137327,0.0012340455170976997,0.006151475603392978,0.08288558921635554,0.005831813867235027
seq_pos,3,31,0.0028425398965590586,0.0004772302024640761,4.718577697848594e-05,0.0003864209008109997,0.892296687168615,0.0005244159794425621
seq_pos,4,0,0.002499153337135031,0.002072401493194094,0.0008705439207026477,0.0020423338795459893,0.349096142603499,0.0029429454138967413
seq_pos,4,1,0.000765919664714317,0.0018015920331196048,0.0005029349391203953,0.0015211781358132428,0.38432059592810824,0.00230452697224
seq_pos,4,2,0.00016638603291808062,0.0011259773028241726,0.00032403990665052867,0.001341321417039382,0.4912020565834488,0.0014500172094747013
seq_pos,4,3,0.00045163994121031145,0.0015537373201491493,0.0005344033987233446,0.0018269137908324983,0.34639807786516974,0.002088140718872494
seq_pos,4,4,0.000161647457366807,0.015397248122755296,0.0015157024030377335,0.014640985174524336,0.025181598603859656,0.01691295052579303
seq_pos,4,5,0.0023486078838614024,0.01642378508559385,0.0023321411689356543,0.016179814550134477,0.021594575346393807,0.018755926254529504
seq_pos,4,6,5.382007854561056e-05,0.01565237386417042,0.0015131308841226255,0.015700708615930616,0.06879343409152537,0.017165504748293044
seq_pos,4,7,7.952358232475217e-05,0.014630055192147511,0.001991760816180518,0.013579050094152516,0.029254283356579838,0.01662181600832803
seq_pos,4,8,0.003258581084992802,0.04299560304367829,0.006189580261449188,0.04022310305855911,0.0027106112630987176,0.04918518330512748
seq_pos,4,9,0.00035332636828648036,0.01462425144152771,0.003276207571581107,0.014358287220622356,0.13042732138330593,0.017900459013108817
seq_pos,4,10,0.00026174245097960135,0.01307815184280155,0.002046229716254214,0.013180037160566479,0.18061906577354284,0.015124381559055764
