dataset,stem,arm,range,L,n_rollouts,n_true,n_candidates,n_voted,n_unvoted,n_unvoted_negative,n_union_true,union_recall
foldbench_monomer,7z65_A,iid,long,283,100,259,33670,1899,31771,31763,251,0.9691119691119691
foldbench_monomer,7znz_A,iid,all,761,100,932,285390,17435,267955,267915,892,0.9570815450643777
foldbench_monomer,7znz_A,iid,long,761,100,675,271953,13816,258137,258107,645,0.9555555555555556
foldbench_monomer,7zoi_A,iid,all,151,100,110,7021,756,6265,6265,110,1.0
foldbench_monomer,7zoi_A,iid,long,151,100,39,5050,407,4643,4643,39,1.0
foldbench_monomer,7zs2_A,iid,all,316,100,223,37128,2890,34238,34230,215,0.9641255605381166
foldbench_monomer,7zs2_A,iid,long,316,100,139,32385,2319,30066,30059,132,0.9496402877697842
foldbench_monomer,7zu3_A,iid,all,132,100,92,7260,2721,4539,4526,79,0.8586956521739131
foldbench_monomer,7zu3_A,iid,long,132,100,61,5253,1760,3493,3480,48,0.7868852459016393
foldbench_monomer,7zv1_A,iid,all,136,100,111,5356,1399,3957,3940,94,0.8468468468468469
foldbench_monomer,7zv1_A,iid,long,136,100,74,3655,890,2765,2750,59,0.7972972972972973
foldbench_monomer,8adc_A,iid,all,215,100,170,20315,4913,15402,15391,159,0.9352941176470588
foldbench_monomer,8adc_A,iid,long,215,100,105,16922,3610,13312,13303,96,0.9142857142857143
foldbench_monomer,8add_A,iid,all,213,100,210,21120,7531,13589,13554,175,0.8333333333333334
foldbench_monomer,8add_A,iid,long,213,100,144,17601,5766,11835,11801,110,0.7638888888888888
foldbench_monomer,8ak2_A,iid,all,297,100,314,40186,2153,38033,38024,305,0.9713375796178344
foldbench_monomer,8ak2_A,iid,long,297,100,229,35245,1672,33573,33564,220,0.9606986899563319
foldbench_monomer,8akh_A,iid,all,374,100,321,49770,2060,47710,47708,319,0.9937694704049844
foldbench_monomer,8akh_A,iid,long,374,100,229,44253,1471,42782,42781,228,0.9956331877729258
