split,range,cut,predictor,n,spearman_rho,ci_lo,ci_hi
all,long,R,Protenix-v2 single-seq,315,-0.37685235268809303,-0.46169821426883484,-0.2873775945209702
all,long,R,ESMFold,315,-0.09984852588648227,-0.20112872278178043,0.018715765987492257
all,long,R,ESMFold2,315,0.02621921540243723,-0.08047599903538512,0.13021505628187616
all,long,R,Protenix-v2 + MSA,315,0.050924278620963125,-0.0501611703853645,0.16280909739931645
all,long,R,seq-KNN k=10 (null),315,0.5083593172312687,0.40483254070305646,0.5913768371027279
natural,all,AUC,"MarinFold #199 (1.5B, seq only)",110,0.014512387829532182,-0.18662919573054107,0.20689218686419272
natural,all,AUC,Protenix-v2 single-seq,110,0.03052154880581947,-0.15198981921319793,0.209096050812553
natural,all,AUC,ESMFold,110,-0.0777826117498971,-0.27875356779875254,0.13548265230648934
natural,all,AUC,ESMFold2,110,0.060993505730270556,-0.13656188419454882,0.2598870642020567
natural,all,AUC,Protenix-v2 + MSA,110,0.025499243729056858,-0.17893143970280095,0.22952886421251031
natural,all,AUC,seq-KNN k=10 (null),110,0.2659708760181811,0.059844408900640786,0.4273901995239009
natural,all,R,"MarinFold #199 (1.5B, seq only)",110,0.04171813715118635,-0.15090429288148496,0.22858361076015063
natural,all,R,Protenix-v2 single-seq,110,0.04399250712661542,-0.12850807960445068,0.22841642114059746
natural,all,R,ESMFold,110,-0.048683777488684785,-0.24433979692768482,0.14306927830309113
natural,all,R,ESMFold2,110,0.0753482710550362,-0.11959067517113223,0.2577477368666203
natural,all,R,Protenix-v2 + MSA,110,0.03037509580765311,-0.17038516865053333,0.24428392811746735
natural,all,R,seq-KNN k=10 (null),110,0.3573381663538643,0.1605208175426315,0.5237555225122287
natural,long,AUC,"MarinFold #199 (1.5B, seq only)",110,0.002817720532295003,-0.17689155278151206,0.18213237127152015
natural,long,AUC,Protenix-v2 single-seq,110,0.04645406778362833,-0.1335391955922043,0.22523746622577517
natural,long,AUC,ESMFold,110,-0.07359886030354548,-0.2811310101373863,0.12351856763465921
natural,long,AUC,ESMFold2,110,0.035309419534295144,-0.14819322874054236,0.23396247743779836
natural,long,AUC,Protenix-v2 + MSA,110,0.03501637659893646,-0.16918768911273055,0.23232355522810721
natural,long,AUC,seq-KNN k=10 (null),110,0.2659483342031105,0.06807544758544819,0.43659553121083855
natural,long,R,"MarinFold #199 (1.5B, seq only)",110,0.025569353745957615,-0.15595140649744926,0.20248164040553326
natural,long,R,Protenix-v2 single-seq,110,0.049523655024585146,-0.13846731392471068,0.23475778676988657
natural,long,R,ESMFold,110,-0.054488075388689494,-0.2336546319835679,0.13564559954100674
natural,long,R,ESMFold2,110,0.04162120734638271,-0.14428179868461483,0.22737213960569447
natural,long,R,Protenix-v2 + MSA,110,0.020628200967440308,-0.15993994228482905,0.22394506466306754
natural,long,R,seq-KNN k=10 (null),110,0.3312624826166682,0.13261966252574803,0.5108657774792281
designed,all,AUC,"MarinFold #199 (1.5B, seq only)",205,0.036532367848096,-0.10506193906549721,0.17236475167152798
designed,all,AUC,Protenix-v2 single-seq,205,-0.3554646544987709,-0.46896433121475084,-0.22908931593954715
designed,all,AUC,ESMFold,205,0.06543800926701712,-0.07484855555880501,0.1857440814728804
designed,all,AUC,ESMFold2,205,0.15305481759195347,0.03193099223314891,0.27895533087532937
designed,all,AUC,Protenix-v2 + MSA,205,0.17482894742107352,0.04801869408679946,0.29440206402767205
designed,all,AUC,seq-KNN k=10 (null),205,0.6040086468991488,0.5047372715006198,0.687539894884129
designed,all,R,"MarinFold #199 (1.5B, seq only)",205,0.03408838035011421,-0.10461050824732723,0.15658445771579993
designed,all,R,Protenix-v2 single-seq,205,-0.3156208464564976,-0.4366930740604766,-0.19329720820871324
designed,all,R,ESMFold,205,0.1033443162328601,-0.02853195062164514,0.23013660385296614
designed,all,R,ESMFold2,205,0.22844768922517714,0.10174265597622802,0.35440415757346927
designed,all,R,Protenix-v2 + MSA,205,0.20457640190573806,0.07537747103347724,0.3275283388184844
designed,all,R,seq-KNN k=10 (null),205,0.6840396701115747,0.5887197171214787,0.7542391457580598
designed,long,AUC,"MarinFold #199 (1.5B, seq only)",205,0.04755037564564095,-0.08827172834053541,0.1799854819219579
designed,long,AUC,Protenix-v2 single-seq,205,-0.3796988389167353,-0.4880627322667224,-0.2613130891258486
designed,long,AUC,ESMFold,205,0.0227346098059084,-0.1069192961836324,0.14413544580451743
