subset_definition,split,range,cut,comparator,n_homology_free,n_with_homolog,delta_homology_free,delta_with_homolog,effect,ci_lo,ci_hi,significant
no_hit_at_all,all,long,AUC,ESMFold,61,492,0.04362526519496067,0.043046271049017225,0.0005789941459434442,-0.04222892991533793,0.045079751184462724,False
no_hit_at_all,all,long,AUC,ESMFold2,61,492,-0.00631339841020144,0.022245494166318443,-0.028558892576519883,-0.05940710715352316,0.004620816603217981,False
no_hit_at_all,all,long,AUC,Protenix-v2 + MSA,61,492,0.015083280824545492,-0.0019571125406793737,0.017040393365224865,-0.01970638868967766,0.05622751513996426,False
no_hit_at_all,all,long,AUC,seq-KNN k=10 (null),61,492,0.41574276935747134,0.2110779501800139,0.20466481917745744,0.17709451061411427,0.23158387939204592,True
no_hit_at_all,all,long,R,Protenix-v2 single-seq,61,492,-0.287066630267316,0.027527692784860516,-0.3145943230521765,-0.3970934180608745,-0.22678047620119424,True
no_hit_at_all,all,long,R,ESMFold,61,492,-0.26937422706725855,-0.15504669676218483,-0.11432753030507373,-0.18900702978054285,-0.036479742347905714,True
no_hit_at_all,all,long,R,ESMFold2,61,492,-0.34774615356466115,-0.1866359050980916,-0.16111024846656954,-0.24056843030033198,-0.07249177830119898,True
no_hit_at_all,all,long,R,Protenix-v2 + MSA,61,492,-0.2980942061976198,-0.22211977373134006,-0.07597443246627972,-0.15835211835502286,0.013291478085367476,False
no_hit_at_all,all,long,R,seq-KNN k=10 (null),61,492,0.42100671235247594,0.21801657546981767,0.20299013688265827,0.13545079593682782,0.27156488522662564,True
no_hit_at_all,natural,all,AUC,Protenix-v2 single-seq,10,148,0.11351499780290086,0.24373346204920973,-0.13021846424630887,-0.21430038498832565,-0.04708577481584776,True
no_hit_at_all,natural,all,AUC,ESMFold,10,148,0.08595757714950766,0.06991836724836493,0.01603920990114273,-0.062110114414743685,0.10428426761066756,False
no_hit_at_all,natural,all,AUC,ESMFold2,10,148,0.06303033605023872,0.03656127323228932,0.026469062817949404,-0.029701167155490846,0.0853001091361826,False
no_hit_at_all,natural,all,AUC,Protenix-v2 + MSA,10,148,0.04990141944085473,-0.021018473335827625,0.07091989277668236,0.007938208240373126,0.1433444749888533,True
no_hit_at_all,natural,all,AUC,seq-KNN k=10 (null),10,148,0.3998513623648968,0.12390422856197313,0.2759471338029237,0.22553535847148592,0.32458776867197714,True
no_hit_at_all,natural,all,R,Protenix-v2 single-seq,10,148,-0.07422842763123336,0.1675851144538045,-0.24181354208503786,-0.4342142321615526,-0.036331009273541964,True
no_hit_at_all,natural,all,R,ESMFold,10,148,-0.1814088625825057,-0.17066808593160995,-0.010740776650895734,-0.17913086651723142,0.15445742101840612,False
no_hit_at_all,natural,all,R,ESMFold2,10,148,-0.19530518265323457,-0.22587982598901707,0.030574643335782498,-0.11127328848737193,0.17873922338935633,False
no_hit_at_all,natural,all,R,Protenix-v2 + MSA,10,148,-0.19137423481798668,-0.3253868845209191,0.1340126497029324,-0.06040142156976768,0.3567635392124604,False
no_hit_at_all,natural,all,R,seq-KNN k=10 (null),10,148,0.40006288275748353,0.007033314059023986,0.39302956869845956,0.2854211111576001,0.5218337709833787,True
no_hit_at_all,natural,long,AUC,Protenix-v2 single-seq,10,148,0.12004615019521965,0.24215093198105608,-0.12210478178583643,-0.21710861513584978,-0.026476140167386444,True
no_hit_at_all,natural,long,AUC,ESMFold,10,148,0.06936001497308662,0.06266912563046169,0.006690889342624934,-0.07422437978893617,0.09953534497988742,False
no_hit_at_all,natural,long,AUC,ESMFold2,10,148,0.059921656368926234,0.02520277019413438,0.03471888617479185,-0.03026631541390966,0.10101334900307246,False
no_hit_at_all,natural,long,AUC,Protenix-v2 + MSA,10,148,0.05155099671200251,-0.03334920310941538,0.08490019982141789,0.010096405913010672,0.16507719380570554,True
no_hit_at_all,natural,long,AUC,seq-KNN k=10 (null),10,148,0.3962162380156813,0.11249231611818337,0.2837239218974979,0.22685075941038474,0.3387127443634222,True
no_hit_at_all,natural,long,R,Protenix-v2 single-seq,10,148,-0.07520723777239591,0.16626259889499337,-0.24146983666738928,-0.49404032761843303,0.05017250024940888,False
no_hit_at_all,natural,long,R,ESMFold,10,148,-0.23253987058609385,-0.18076815726664905,-0.0517717133194448,-0.23113804811211933,0.11825665593387885,False
no_hit_at_all,natural,long,R,ESMFold2,10,148,-0.17157682442714628,-0.2441817796987088,0.07260495527156252,-0.15345151062391293,0.37413395611738925,False
no_hit_at_all,natural,long,R,Protenix-v2 + MSA,10,148,-0.1940578157446925,-0.3444816879471418,0.1504238722024493,-0.12421072904076079,0.4769240975163491,False
no_hit_at_all,natural,long,R,seq-KNN k=10 (null),10,148,0.37047674783991374,-0.016418942813570755,0.3868956906534845,0.1811479410126288,0.6026127174564673,True
no_hit_at_all,designed,all,AUC,Protenix-v2 single-seq,52,344,0.020815537120207443,0.08048780805045756,-0.05967227093025012,-0.09631028316158312,-0.02008074746273049,True
no_hit_at_all,designed,all,AUC,ESMFold,52,344,0.052494532788673824,0.035684083599626895,0.01681044918904693,-0.02486130024325207,0.061957876216309445,False
no_hit_at_all,designed,all,AUC,ESMFold2,52,344,0.000981877843469246,0.022887192975232562,-0.021905315131763317,-0.04905436046626689,0.010390741512495303,False
no_hit_at_all,designed,all,AUC,Protenix-v2 + MSA,52,344,0.025742330203352107,0.016826712730719638,0.008915617472632469,-0.026851194781879348,0.04892824076631234,False
no_hit_at_all,designed,all,AUC,seq-KNN k=10 (null),52,344,0.43904803287551625,0.2516016283770923,0.18744640449842392,0.16063158480255899,0.2145146297774248,True
no_hit_at_all,designed,all,R,Protenix-v2 single-seq,52,344,-0.24233732813221012,-0.020628566262860068,-0.22170876186935007,-0.3033344905285529,-0.13191458495698424,True
no_hit_at_all,designed,all,R,ESMFold,52,344,-0.21545588117082953,-0.12111458958811046,-0.09434129158271908,-0.16571883599641293,-0.020307405309537747,True
