range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
long,AUC,no_homolog,Protenix-v2 + MSA,47,47,0.8495313141500074,0.019720246776015807,47.0,-0.02364423728137248,-0.062083322988085825,0.01702826396283979,False,natural
long,AUC,no_homolog,seq-KNN k=10 (null),47,47,0.5030622765941181,0.0014509021423700864,47.0,0.322824800274517,0.29295963491761146,0.3526620117696176,True,natural
long,R,no_homolog,"MarinFold #199 (1.5B, seq only)",47,47,0.2723707896233388,0.03645079841856593,,,,,,natural
long,R,no_homolog,Protenix-v2 single-seq,47,47,0.36858582837994586,0.04484481590736782,47.0,-0.09621503875660707,-0.16905950132330955,-0.020246071639504364,True,natural
long,R,no_homolog,ESMFold,47,47,0.38868300037941844,0.053452527364903135,47.0,-0.11631221075607964,-0.18631796936097683,-0.05171173064036768,True,natural
long,R,no_homolog,ESMFold2,47,47,0.45843282112493755,0.04474245450201699,47.0,-0.18606203150159883,-0.26152407316884635,-0.10449365253755462,True,natural
long,R,no_homolog,Protenix-v2 + MSA,47,47,0.5941342052184383,0.040430227208516765,47.0,-0.32176341559509947,-0.41222508445434336,-0.22283963703554127,True,natural
long,R,no_homolog,seq-KNN k=10 (null),47,47,0.016196524342777945,0.00618711913608528,47.0,0.25617426528056086,0.19165793232351677,0.3284288326288025,True,natural
all,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",184,184,0.9527986363352408,0.004494080436417354,,,,,,designed
all,AUC,no_homolog,Protenix-v2 single-seq,184,184,0.9371491226043664,0.005817378486439439,184.0,0.01564951373087417,0.0031404501067369655,0.028946574557039285,True,designed
all,AUC,no_homolog,ESMFold,184,184,0.904419620853908,0.009113473381513415,184.0,0.04837901548133279,0.033236842415900185,0.064622856454391,True,designed
all,AUC,no_homolog,ESMFold2,184,184,0.9410577895882092,0.00529327316788784,184.0,0.011740846747031521,0.0005580454861348778,0.02346959367787715,True,designed
all,AUC,no_homolog,Protenix-v2 + MSA,184,184,0.9359490867299319,0.006074417468171847,184.0,0.016849549605308833,0.003148454742066816,0.03114558079353068,True,designed
all,AUC,no_homolog,seq-KNN k=10 (null),184,184,0.5147193509571659,0.0035709807245220405,184.0,0.43807928537807467,0.42689028885485863,0.4485936653323863,True,designed
all,R,no_homolog,"MarinFold #199 (1.5B, seq only)",184,184,0.6052900702689658,0.017287221740131125,,,,,,designed
all,R,no_homolog,Protenix-v2 single-seq,184,184,0.7976658460307597,0.012343489536515354,184.0,-0.19237577576179407,-0.2258300719410434,-0.1581287655905502,True,designed
all,R,no_homolog,ESMFold,184,184,0.7657538878064042,0.01705516942117922,184.0,-0.16046381753743835,-0.18969386737747163,-0.13098850845851379,True,designed
all,R,no_homolog,ESMFold2,184,184,0.8116710997699058,0.011482350692982864,184.0,-0.20638102950093992,-0.2413414179116348,-0.17036459357252576,True,designed
all,R,no_homolog,Protenix-v2 + MSA,184,184,0.7986188954031457,0.012790356105935229,184.0,-0.19332882513417984,-0.22813134815716374,-0.15716263756228654,True,designed
all,R,no_homolog,seq-KNN k=10 (null),184,184,0.03297376901982744,0.006547376603375015,184.0,0.5723163012491383,0.5364994261924222,0.6085475031285913,True,designed
long,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",183,183,0.9374979099891518,0.0057537965851111525,,,,,,designed
long,AUC,no_homolog,Protenix-v2 single-seq,183,183,0.9301801321634428,0.0067298404690950735,183.0,0.0073177778257087975,-0.007815029311630271,0.02262644954003853,False,designed
long,AUC,no_homolog,ESMFold,183,183,0.891197671262097,0.010328797589800024,183.0,0.04630023872705474,0.028425255918526685,0.06498458320815767,True,designed
long,AUC,no_homolog,ESMFold2,183,183,0.9299793339526622,0.006333959650398412,183.0,0.007518576036489578,-0.006397137524311949,0.02197889467743666,False,designed
long,AUC,no_homolog,Protenix-v2 + MSA,183,183,0.931582201556555,0.006908535422845364,183.0,0.005915708432596744,-0.010449166962321794,0.02234240717293162,False,designed
long,AUC,no_homolog,seq-KNN k=10 (null),183,183,0.5092234982944689,0.0031498970630910194,183.0,0.428274411694683,0.4152698860631755,0.44053304084379236,True,designed
long,R,no_homolog,"MarinFold #199 (1.5B, seq only)",183,183,0.5457768205305203,0.018847089136843614,,,,,,designed
long,R,no_homolog,Protenix-v2 single-seq,183,183,0.785592445708675,0.013333760261016781,183.0,-0.23981562517815477,-0.2750677290163142,-0.20410433678495524,True,designed
long,R,no_homolog,ESMFold,183,183,0.7378588341012852,0.019565295106379825,183.0,-0.19208201357076482,-0.22795523353040978,-0.15558905901054307,True,designed
long,R,no_homolog,ESMFold2,183,183,0.7992257266976363,0.012737181721920867,183.0,-0.2534489061671162,-0.29002378874140083,-0.2157114036619049,True,designed
long,R,no_homolog,Protenix-v2 + MSA,183,183,0.7899149546848858,0.013587258028358333,183.0,-0.24413813415436542,-0.2810939246027409,-0.20634404076863652,True,designed
long,R,no_homolog,seq-KNN k=10 (null),183,183,0.023325785722166596,0.005802533487983713,183.0,0.5224510348083538,0.484438245041101,0.5604888304132024,True,designed
all,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",62,62,0.9364249374806222,0.007972841898236653,,,,,,all
all,AUC,no_hit_at_all,Protenix-v2 single-seq,62,62,0.9006578744438513,0.01666264469777557,62.0,0.0357670630367709,0.0031174332350408186,0.07148684319908509,True,all
all,AUC,no_hit_at_all,ESMFold,62,62,0.8785331394724588,0.01917770079065922,62.0,0.057891798008163145,0.020773083077159506,0.09813251892176383,True,all
all,AUC,no_hit_at_all,ESMFold2,62,62,0.9254352437973513,0.011971374793347358,62.0,0.010989693683270773,-0.014039649094182398,0.03977061287784117,False,all
all,AUC,no_hit_at_all,Protenix-v2 + MSA,62,62,0.9067859799808986,0.01552885992134668,62.0,0.029638957499723492,-0.001621887561574192,0.06406261902899717,False,all
all,AUC,no_hit_at_all,seq-KNN k=10 (null),62,62,0.5036989482358509,0.0031437136614846334,62.0,0.4327259892447712,0.41569700753597555,0.4483094655681643,True,all
all,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",62,62,0.4958534603086597,0.027209790579549326,,,,,,all
all,R,no_hit_at_all,Protenix-v2 single-seq,62,62,0.7110764496503896,0.0341843395529984,62.0,-0.21522298934172998,-0.2894136860926945,-0.13624834061375043,True,all
all,R,no_hit_at_all,ESMFold,62,62,0.7058178868684691,0.03516250676023012,62.0,-0.20996442655980954,-0.27430933304934507,-0.14292544907763935,True,all
all,R,no_hit_at_all,ESMFold2,62,62,0.778009769625913,0.024934216773057002,62.0,-0.2821563093172533,-0.3518512963295113,-0.20670950739288138,True,all
